;title;artist;genres;duration;pays;explicit_content
0;Belles belles belles;Claude Francois;['Pop'];133;Royaumed'Égypte;0
1;L'école est finie;Sheila;['Pop'];159;France;0
2;I'm watching you;Sylvie Vartan;['Pop'];119;Bulgarie;0
3;Tes tendres années;Johnny Hallyday;['Pop'];142;France;0
4;Elle est terrible;Johnny Hallyday;['Pop'];118;France;0
5;Les bras en croix;Johnny Hallyday;['Pop'];133;France;0
6;Dis-lui;Claude Francois;['Pop'];139;Royaumed'Égypte;0
7;Donne-moi ma chance;Richard Anthony;['Electro', 'Chill Out/Trip-Hop/Lounge', 'Jazz', 'Pop', 'Pop internationale', 'Variété Internationale'];155;Égypte;0
8;L'idole des jeunes;Johnny Hallyday;['Pop'];148;France;0
9;Devil in disguise;Elvis Presley;['Pop'];139;États-Unis;0
10;C'est ma fête;Richard Anthony;['Pop'];132;Égypte;0
11;En écoutant la pluie;Sylvie Vartan;['Pop'];138;Bulgarie;0
12;File file file;Frank Alamo;['Pop'];111;France;0
13;Be bop a lula 63;Eddy Mitchell;['Chanson française'];221;France;0
14;Da dou ron ron;Johnny Hallyday;['Pop'];135;France;0
15;If I had a hammer;Trini Lopez;['Pop'];179;5mai1937Dallas;0
16;Il a le truc;Gam'S;[];148;Inconnue;0
17;Pauvre petite fille riche;Claude Francois;['Pop'];193;Royaumed'Égypte;0
18;Return to sender;Elvis Presley;['Pop'];128;États-Unis;0
19;Les vendanges de l'amour;Marie Laforet;['Pop'];152;France;0
20;Demain tu te maries (arrête, arrête);Patricia Carli;['Pop', 'Pop internationale', 'Variété Internationale'];199;Italie;0
21;Je ne pense qu'à l'amour;Eddy Mitchell;['Pop'];133;France;0
22;Pendant les vacances;Sheila;['Pop'];165;France;0
23;La Madrague;Brigitte Bardot;['Pop'];155;France;0
24;Première surprise partie;Sheila;['Pop'];151;France;0
25;L'appareil à sous;Brigitte Bardot;['Pop'];86;France;0
26;Minnie petite souris;Henri Salvador;[];140;France;0
27;Cuore;Rita Pavone;['Pop'];224;77 ansTurin;0
28;Je ne peux pas t'oublier;Dick Rivers;['Pop'];138;France;0
29;Twiste et chante;Sylvie Vartan;['Pop'];119;Bulgarie;0
30;From me to you;The Beatles;['Rock'];116;Royaume-Uni;0
31;She loves you;The Beatles;['Rock'];140;Royaume-Uni;0
32;Ma guitare;Johnny Hallyday;['Pop'];178;France;0
33;Pour moi la vie va commencer;Johnny Hallyday;['Pop'];132;France;0
34;Marche tout droit;Claude Francois;['Pop', 'Rock'];116;Royaumed'Égypte;0
35;Si tu veux être heureux;Claude Francois;['Pop'];126;Royaumed'Égypte;0
36;Be my baby;The Ronettes;['Pop', 'Pop internationale', 'Rock'];160;États-Unis;0
37;Bien trop court;Dick Rivers;['Rock', 'Rock & Roll/Rockabilly'];158;France;0
38;Chain gang;Eddy Mitchell;['Rock'];149;France;0
39;Say mama;Gene Vincent;['Rock'];131;États-Unis;0
40;Nobody but you;The Lafayettes;[];136;Inconnue;0
41;Elle était si jolie;Alain Barriere;['Chanson française'];176;Morbihan;0
42;Da doo ron ron;Frank Alamo;['Pop'];114;France;0
43;L'amour s'en va;Francoise Hardy;['Chanson française'];145;France;0
44;Rhythm of the rain;Cascades;['R&B'];153;Inconnue;0
45;Baby blue;Gene Vincent;['Rock', 'Rock & Roll/Rockabilly'];149;États-Unis;0
46;Teenage idol;Ricky Nelson;['Pop'];148;États-Unis;0
47;She loves you;The Beatles;['Rock'];140;Royaume-Uni;0
48;Pour moi la vie va commencer;Johnny Hallyday;['Pop'];132;France;0
49;Si j'avais un marteau;Claude Francois;['Pop'];169;Royaumed'Égypte;0
