;title;artist;genres;duration;pays;explicit_content
0;You're the one that I want;John Travolta & Olivia Newton-John;['Films/Jeux vidéo', 'Comédies musicales'];169;États-Unis;0
1;Let's all chant;Michael Zager Band;['Pop', 'Disco'];184;80 ansPassaic;0
2;Rivers of Babylon;Boney M.;['Pop'];260;AllemagneJamaïqueRoyaume-UniPays-Bas;0
3;Ti amo;Umberto Tozzi;['Pop'];245;Italie;0
4;Airport;The Motors;['Rock'];278;Royaume-Uni;0
5;En chantant;Michel Sardou;['Pop'];234;France;0
6;It's a heartache;Bonnie Tyler;['Pop'];209;Royaume-Uni;0
7;Alexandrie Alexandra;Claude Francois;['Dance', 'Disco'];262;Royaumed'Égypte;0
8;Magnolias for ever;Claude Francois;['Dance', 'Disco'];260;Royaumed'Égypte;0
9;Miss you;The Rolling Stones;['Rock'];288;Inconnue;0
10;Ca plane pour moi;Plastic Bertrand;['Alternative', 'Rock indé', 'Pop', 'Rock', 'Rock français'];182;Belgique;0
11;How deep is your love;Bee Gees;['Pop'];245;Royaume-UniDouglas;0
12;We will rock you;Queen;['Rock'];122;Royaume-Uni;0
13;I can't stand the rain;Eruption;['Pop', 'Pop internationale', 'Rock'];185;Royaume-Uni;0
14;J'ai oublié de vivre;Johnny Hallyday;['Pop'];282;France;0
15;Rasputin;Boney M.;['Electro', 'Dance', 'Pop'];186;AllemagneJamaïqueRoyaume-UniPays-Bas;0
16;Solo tu;Matia Bazar;['Pop'];208;Italie;0
17;You make me feel (mighty real);Sylvester;['Dance'];394;"

6septembre1947États-Unis-LosAngeles";0
18;Baker street;Gerry Rafferty;['Rock'];365;Écosse;0
19;Elle m'oublie;Johnny Hallyday;['Pop'];206;France;0
20;Stayin' alive;Bee Gees;['Pop'];283;Royaume-UniDouglas;0
21;Take a chance on me;Abba;['Pop'];246;Suède;0
22;Belfast;Boney M.;['Electro', 'Techno/House', 'Dance', 'Pop'];210;AllemagneJamaïqueRoyaume-UniPays-Bas;0
23;Copacabana (at the copa);Barry Manilow;['Pop'];346;États-Unis;0
24;Emmène-moi danser ce soir;Michele Torr;['Pop'];183;75 ansPertuis;0
25;La vie en rose;Grace Jones;['Pop'];448;Jamaïque;0
26;Viens je t'emmène;France Gall;['Pop'];269;France;0
27;Fantasy;Earth, Wind & Fire;['R&B'];278;États-Unis;0
28;Follow you, follow me;Genesis;['Rock'];240;Royaume-Uni;0
29;Goldorak;Noam;[];139;Inconnue;0
30;I love America;Patrick Juvet;['Pop'];227;1août1950MontreuxSuisse;0
31;Je vole;Michel Sardou;['Pop'];302;France;0
32;Le vin me saoule;Nicolas Peyrac;['Pop'];209;France;0
33;Prendre un enfant;Yves Duteil;['Pop'];258;France;0
34;Sea, sex and sun;Serge Gainsbourg;['Films/Jeux vidéo', 'Musiques de films'];206;France;0
35;T'as beau pas être beau;Louis Chedid;['Pop'];208;Égypte;0
36;Diabolo menthe;Yves Simon;['Pop'];152;France;0
37;Ex-fan des sixties;Jane Birkin;['Chanson française', 'Pop'];202;Angleterre;0
38;Jamais content;Alain Souchon;['Chanson française'];268;Maroc;0
39;Ma préférence;Julien Clerc;['Pop'];207;75 ans19earrondissementdeParis;0
40;Santa Maria de la mer;Mireille Mathieu;['Chanson française'];216;76 ansAvignon;0
41;Too much heaven;Bee Gees;['Pop'];295;Royaume-UniDouglas;0
42;Tu;Umberto Tozzi;['Pop'];251;Italie;0
43;Un été de porcelaine;Mort Shuman;['Pop'];255;États-Unis;0
44;Y.M.C.A.;Village People;['Dance', 'Pop', 'Rock', 'Disco'];286;États-Unis;0
45;Aimer la vie;Julio Iglesias;['Pop'];194;Espagne;0
46;Allo maman bobo;Alain Souchon;['Chanson française'];209;Maroc;0
47;Bubble star;Laurent Voulzy;['Chanson française'];288;France;0
48;Comme avant;Mort Shuman;['Pop'];239;États-Unis;0
49;Fais un bébé;Michel Delpech;['Chanson française', 'Pop'];194;France;0
