;title;artist;genres;duration;pays;explicit_content
0;Double je;Christophe Willem;['Chanson française'];216.0;France;0.0
1;Don't stop the music;Rihanna;['Pop'];267.0;Barbade;0.0
2;The way I are;Timbaland Feat. Keri Hilson & D.O.E.;['Films/Jeux vidéo', 'Musiques de films'];183.0;États-Unis;0.0
3;I wanna love you;Akon Feat. Snoop Dogg;['Pop', 'Latino'];246.0;États-Unis;1.0
4;Umbrella;Rihanna Feat. Jay-Z;['Pop'];280.0;Barbade;0.0
5;All good things (come to an end);Nelly Furtado;['Pop'];311.0;Canada;0.0
6;I don't need a man;The Pussycat Dolls;['Pop'];219.0;États-Unis;0.0
7;Love is gone;David Guetta;['Films/Jeux vidéo', 'Musiques de films'];200.0;55 ansParis;0.0
8;A fleur de toi;Vitaa;['R&B'];261.0;39 ansMulhouse;0.0
9;Give it to me;Timbaland Feat. Nelly Furtado;['Rap/Hip Hop'];237.0;États-Unis;0.0
10;Beautiful liar;Beyonce Feat. Shakira;['Pop'];204.0;États-Unis;0.0
11;Durch den monsun;Tokio Hotel;['Pop'];236.0;Allemagne;0.0
12;Victoire;Shy'M;['R&B'];227.0;Inconnue;0.0
13;Baby when the light;David Guetta Feat. Cozi;['Dance'];208.0;55 ansParis;0.0
14;Relax (take it easy);Mika;['Pop'];270.0;Liban;0.0
15;Say it right;Nelly Furtado;['Pop'];223.0;Canada;0.0
16;Lovestoned;Justin Timberlake;['Pop'];444.0;États-Unis;0.0
17;Beautiful girls;Sean Kingston;['Rap/Hip Hop'];241.0;FlorideÉtats-Unis;0.0
18;Goodbye Philadelphia;Peter Cincotti;['Pop'];252.0;États-Unis;0.0
19;Rejection;Martin Solveig;['Dance', 'Films/Jeux vidéo'];217.0;France;0.0
20;Gimme more;Britney Spears;['Pop', 'Pop internationale', 'Rock'];251.0;États-Unis;0.0
21;No one;Alicia Keys;['R&B'];253.0;41 ansHell'sKitchen;0.0
22;Love today;Mika;['Pop'];235.0;Liban;0.0
23;Hotel room;Lord Kossity Feat. Chico;[];;France;
24;The sweet escape;Gwen Stefani Feat. Akon;['Pop'];246.0;53 ansFullerton;0.0
25;Elle;Melissa;['Pop'];183.0;Inconnue;0.0
26;1973;James Blunt;['Pop'];280.0;Royaume-Uni;0.0
27;Like a boy;Ciara;['R&B'];237.0;Inconnue;0.0
28;Ayo technology;50 Cent Feat. Justin Timberlake & Timbaland;['Pop'];275.0;États-Unis;0.0
29;What goes around ... comes around;Justin Timberlake;['Pop'];313.0;États-Unis;0.0
30;Quelque part;Sheryfa Luna;['Rap/Hip Hop'];263.0;France;0.0
31;Tourner ma page;Jenifer;['Pop'];173.0;40 ansNice;0.0
32;Garçon;Koxie;['Pop'];211.0;France;0.0
33;On s'attache;Christophe Mae;['Pop'];191.0;France;0.0
34;Long way 2 go;Cassie;['Pop'];220.0;Inconnue;0.0
35;Last night;Diddy Feat. Keyshia Cole;['Rap/Hip Hop'];388.0;Inconnue;1.0
36;Don't matter;Akon;['R&B'];249.0;États-Unis;0.0
37;Rise up;Yves Larock;['Electro'];172.0;Suisse;0.0
38;Ca fait mal;Christophe Mae;['Pop'];222.0;France;0.0
39;What I want;Bob Sinclar Pres. Fireball;[];;Inconnue;
40;Elles demandent;Medhy Custos;['Musique africaine'];182.0;France;0.0
41;4 mots sur un piano;Patrick Fiori, Jean-Jacques Goldman & Ricol;[];;Inconnue;
42;Oublie-moi;Shy'M;['R&B'];182.0;Inconnue;0.0
43;Stronger;Kanye West Feat. Daft Punk;[];;États-Unis;
44;Lola;Superbus;['Pop'];178.0;France;0.0
45;America;Razorlight;['Rock'];250.0;Royaume-Uni;0.0
46;Marly-Gomont;Kamini;['Rap/Hip Hop'];308.0;France;0.0
47;Avec tout mon amour;Melissa;[];;Inconnue;
48;Ta meuf;Faf Larage;['Rap/Hip Hop', 'R&B'];263.0;51 ansMarseille;0.0
49;Irreplaceable;Beyonce;['Pop'];227.0;États-Unis;0.0
