;title;artist;genres;duration;pays;explicit_content
0;White flag;Dido;['Pop'];240.0;Angleterre;0.0
1;Bring me to life;Evanescence;['Rock'];235.0;États-Unis;0.0
2;Can't stop loving you;Phil Collins;['Pop'];258.0;Royaume-Uni;0.0
3;Rise and fall;Craig David & Sting;['Pop'];287.0;Angleterre;0.0
4;La vie est belle;M.C. Solaar;['Rap/Hip Hop'];234.0;Inconnue;0.0
5;Feel;Robbie Williams;['Pop'];263.0;Royaume-Uni;0.0
6;On n'sait jamais;Leslie Feat. Magic System & Sweety;[];;Inconnue;
7;Cry me a river;Justin Timberlake;['Pop'];288.0;États-Unis;0.0
8;Hey sexy lady;Shaggy;['Pop'];199.0;Jamaïque;0.0
9;Chihuahua;D.J. Bobo;['Dance', 'Pop'];178.0;Inconnue;0.0
10;Ma liberté de penser;Florent Pagny;['Pop'];204.0;France;0.0
11;Satisfaction;Benny Benassi;['Dance', 'Films/Jeux vidéo'];143.0;Italie;1.0
12;Don't mess with my man;Nivea;['R&B'];226.0;lemagne;0.0
13;Dernière danse;Kyo;['Chanson française'];227.0;France;0.0
14;Never leave you (uh-oooh);Lumidee;['Pop'];184.0;États-Unis;0.0
15;Just like a pill;Pink;['Pop'];237.0;Inconnue;1.0
16;All the things she said;Tatu;['Pop'];212.0;Inconnue;0.0
17;Love's divine;Seal;['Pop'];275.0;Angleterre;0.0
18;Going under;Evanescence;['Rock'];214.0;États-Unis;0.0
19;Tout l'or des hommes;Celine Dion;['Pop'];178.0;Canada;0.0
20;Entre nous;Chimene Badi;['Pop'];201.0;France;0.0
21;Lose yourself;Eminem;['Rap/Hip Hop'];326.0;États-Unis;1.0
22;Je cours;Kyo;['Chanson française'];180.0;France;0.0
23;Where is the love?;The Black Eyed Peas;['Pop'];273.0;États-Unis;0.0
24;Rock your body;Justin Timberlake;['Pop'];267.0;États-Unis;0.0
25;Crazy in love;Beyonce Feat. Jay-Z;['Pop', 'R&B'];236.0;États-Unis;0.0
26;Baby boy;Beyonce Feat. Sean Paul;['Pop', 'R&B'];244.0;États-Unis;0.0
27;American life;Madonna;['Pop'];297.0;États-Unis;1.0
28;Bump, bump, bump;B2K & P. Diddy;['Pop'];282.0;osAngeles,Californie,États-Unis;0.0
29;Sorry seems to be the hardest word;Blue Feat. Elton John;[];220.0;Londres,Angleterre;0.0
30;D.J.;Diam'S;['Rap/Hip Hop'];651.0;Inconnue;0.0
31;Objection (tango);Shakira;['Latino'];222.0;Colombie;0.0
32;J'ai des choses à te dire;Pearl;['Chanson française'];208.0;Inconnue;0.0
33;I know what you want;Busta Rhymes & Mariah Carey;['Rap/Hip Hop'];275.0;en;0.0
34;'03 Bonnie and Clyde;Jay-Z Feat. Beyonce Knowles;['Pop'];218.0;États-Unis;0.0
35;Je trace;Florent Pagny;['Pop'];194.0;France;0.0
36;Au summum;113;['Rap/Hip Hop'];291.0;Inconnue;0.0
37;Summer jam 2003;The Underdog Project;[];229.0;ambourg,Allemagne;0.0
38;In the shadows;The Rasmus;['Pop'];257.0;Finlande;0.0
39;Sweet soca music;Sugar Daddy;['Rap/Hip Hop', 'R&B', 'Disco'];188.0;Inconnue;0.0
40;Jenny from the block;Jennifer Lopez Feat. Jadakiss & Styles;['Pop', 'R&B', 'Soul'];189.0;États-Unis;0.0
41;Le chemin;Kyo Feat. Sita;['Chanson française'];210.0;France;0.0
42;Laisse parler les gens;Jocelyne Labylle & Cheela;[];202.0;Guadeloupe;0.0
43;Sexy pour moi;Tragedie;['R&B'];216.0;France;0.0
44;Fan;Pascal Obispo;['Chanson française', 'Pop'];217.0;France;0.0
45;Sk8er boi;Avril Lavigne;['Pop'];204.0;Canada;0.0
46;Breathe;Blu Cantrell Feat. Sean Paul;['Pop'];228.0;46 ansProvidenceÉtats-Unis;0.0
47;Ka-ching!;Shania Twain;['Pop'];200.0;Canada;0.0
48;All I have;Jennifer Lopez Feat. L.L. Cool J.;['Pop'];238.0;États-Unis;0.0
49;He's unbelievable;Sarah Connor;['Pop'];259.0;Inconnue;0.0
