;title;artist;genres;duration;pays;explicit_content
0;La maladie d'amour;Michel Sardou;['Pop'];210.0;France;0.0
1;Money;Pink Floyd;['Rock'];380.0;Royaume-Uni;0.0
2;Angie;The Rolling Stones;['Rock'];271.0;Inconnue;0.0
3;J'ai un problème;Johnny Hallyday & Sylvie Vartan;['Pop'];180.0;France;0.0
4;Vado via;Drupi;['Pop'];245.0;;0.0
5;Rien qu'une larme;Mike Brant;['Pop'];199.0;Empirebritannique;0.0
6;Viens, viens;Marie Laforet;[];208.0;France;0.0
7;Goodbye my love, goodbye;Demis Roussos;['Pop'];239.0;5juin1946Alexandrie;0.0
8;Comme un corbeau blanc;Johnny Hallyday;['Pop'];218.0;France;0.0
9;Prisencolinensinainciusol;Adriano Celentano;[];229.0;Italie;0.0
10;Ca fait pleurer le bon Dieu;Julien Clerc;['Pop'];151.0;75 ans19earrondissementdeParis;0.0
11;Les gondoles à Venise;Sheila & Ringo;['Pop'];225.0;France;0.0
12;Superstition;Stevie Wonder;['R&B'];266.0;États-Unis;0.0
13;Crazy horses;The Osmonds;['Pop'];147.0;tats-Unis;0.0
14;Forever and ever;Demis Roussos;['Pop'];220.0;5juin1946Alexandrie;0.0
15;Can the can;Suzi Quatro;['Rock'];214.0;72 ans;0.0
16;Cum on feel the noize;Slade;['Pop', 'Rock'];264.0;Royaume-Uni;0.0
17;Le lundi au soleil;Claude Francois;['Chanson française'];176.0;Royaumed'Égypte;0.0
18;Le prix des alumettes;Stone & Charden;['Pop'];256.0;Charden;0.0
19;Quand vient le soir on se retrouve;Frederic Francois;['Chanson française'];223.0;Italie;0.0
20;Tout donné, tout repris;Mike Brant;['Pop'];215.0;Empirebritannique;0.0
21;Et surtout ne m'oublie pas;Crazy Horse;['Pop'];191.0;osAngeles,Californie;0.0
22;La complainte de l'heure de pointe (à vélo dans Paris);Joe Dassin;['Chanson française'];110.0;États-Unis;0.0
23;Les vieux mariés;Michel Sardou;['Pop'];217.0;France;0.0
24;Made in Normandie;Stone & Charden;['Chanson française'];254.0;Charden;0.0
25;Message personnel;Francoise Hardy;['Pop'];256.0;France;0.0
26;This world today is a mess;Donna Hightower;['Pop'];166.0;8décembre1926Caruthersville;0.0
27;Angélique;Christian Vidal;['Chanson française'];160.0;Belgique;0.0
28;Chanson populaire;Claude Francois;['Chanson française'];210.0;Royaumed'Égypte;0.0
29;Chante... comme si tu devais mourir demain;Michel Fugain;['Pop'];197.0;80 ansGrenoble;0.0
30;Fio maravilla;Nicoletta;['Pop'];216.0;78 ansThonon-les-Bains;0.0
31;J'ai rencontré l'homme de ma vie;Diane Dufresne;[];183.0;Canada;0.0
32;La drague;Guy Bedos & Sophie Daumier;['Films/Jeux vidéo', 'Comédie'];273.0;Algériefrançaise;0.0
33;Si on chantait;Julien Clerc;['Pop'];207.0;75 ans19earrondissementdeParis;0.0
34;Signe de vie, signe d'amour;Alain Chamfort;['Pop'];168.0;France;0.0
35;Une bague, un collier;Ringo;['Pop'];188.0;France;0.0
36;(I can't get no) satisfaction;Tritons;['Pop'];258.0;Inconnue;0.0
37;Clair;Gilbert O'Sullivan;['Pop', 'Rock'];179.0;Irlande;0.0
38;Elected;Alice Cooper;['Pop'];248.0;États-Unis;0.0
39;Faut pas pleurer comme ça;Daniel Guichard;['Pop'];186.0;France;0.0
40;Harlem song;The Sweepers;[];;Inconnue;
41;Les divorcés;Michel Delpech;['Chanson française', 'Pop'];255.0;France;0.0
42;Manhattan;C. Jerome;['Pop'];190.0;France;0.0
43;Mélancolie;Sheila;['Pop'];253.0;France;0.0
44;Noël interdit;Johnny Hallyday;['Pop'];169.0;France;0.0
45;Pourquoi;Daniel Guichard;['Pop'];183.0;France;0.0
46;Si tu savais combien je t'aime;Christian Adam;['Pop', 'Rock'];203.0;4mai1945LaLouvière;0.0
47;Tu te reconnaitras;Anne-Marie David;['Chanson française'];159.0;ProtectoratfrançaisauMaroc;0.0
48;Un chant d'amour, un chant d'été;Frederic Francois;['Chanson française'];187.0;Italie;0.0
49;Adam et Eve;Sheila;['Pop'];187.0;France;0.0
