;title;artist;genres;duration;pays;explicit_content
0;I can't wait;Nu Shooz;['R&B', 'Soul & Funk', 'Soul'];218.0;ortland,OregonÉtats-Unis;0.0
1;Take my breath away;Berlin;['Films/Jeux vidéo', 'Musiques de films'];255.0;États-Unis;0.0
2;P: machinery;Propaganda;['Pop'];228.0;Allemagne;0.0
3;Venus;Bananarama;['Pop'];228.0;Royaume-Uni;0.0
4;Les démons de minuit;Images;['Chanson française'];211.0;Inconnue;0.0
5;The final countdown;Europe;['Rock', 'Hard Rock', 'Metal'];310.0;Suède;0.0
6;Partenaire particulier;Partenaire Particulier;['Pop', 'Pop internationale', 'Variété Internationale'];246.0;rance;0.0
7;Live to tell;Madonna;['Pop'];351.0;États-Unis;0.0
8;Papa don't preach;Madonna;['Pop'];269.0;États-Unis;0.0
9;Ouragan;Stephanie De Monaco;['Pop'];258.0;Inconnue;0.0
10;Living in America;James Brown;['Films/Jeux vidéo', 'Musiques de films'];282.0;États-Unis;0.0
11;Hunting high and low;A-Ha;['Pop'];227.0;Norvège;0.0
12;The promise you made;Cock Robin;['Pop'];232.0;États-Unis;0.0
13;Holiday rap;"M.C. Miker ""G"" & Deejay Sven";['Pop'];266.0;Inconnue;0.0
14;Eve lève-toi;Julie Pietri;[];272.0;Algériefrançaise;0.0
15;Tchiki boum;Niagara;['Pop'];211.0;France;0.0
16;En rouge et noir;Jeanne Mas;['Pop'];268.0;Espagne;0.0
17;The sun always shines on T.V.;A-Ha;['Pop'];302.0;Norvège;0.0
18;Nikita;Elton John;['Pop'];343.0;Royaume-Uni;0.0
19;The lady in red;Chris De Burgh;['Pop'];256.0;74 ansVenadoTuerto;0.0
20;A kind of magic;Queen;['Rock'];262.0;Royaume-Uni;0.0
21;La vie par procuration;Jean-Jacques Goldman;['Chanson française'];253.0;France;0.0
22;Don't leave me this way;Communards;['Pop'];271.0;Inconnue;0.0
23;Flash;Stephanie De Monaco;[];;Inconnue;
24;Easy lady;Spagna;['Pop'];290.0;Italie;0.0
25;True blue;Madonna;['Pop'];242.0;États-Unis;0.0
26;Burning heart;Survivor;['Films/Jeux vidéo', 'Musiques de films'];230.0;États-Unis;0.0
27;Touch me (I want your body);Samantha Fox;['Pop'];222.0;Angleterre;0.0
28;Tropique;Muriel Dacq;['Pop'];207.0;60 ans;0.0
29;Rough boy;Zz Top;['Pop', 'Rock'];287.0;Inconnue;0.0
30;When the going gets tough, the tough get going;Billy Ocean;['Pop', 'R&B'];248.0;en;0.0
31;Ville de lumière;Gold;['Pop'];240.0;France;0.0
32;Le jour s'est levé;Telephone;['Rock'];289.0;Inconnue;0.0
33;3ème sexe;Indochine;['Rock'];280.0;France;0.0
34;Ballade de Jim;Alain Souchon;['Pop'];265.0;Maroc;0.0
35;Bad boy;Miami Sound Machine;['Pop'];224.0;Inconnue;0.0
36;The captain of her heart;Double;['Jazz', 'Pop'];274.0;Suisse;0.0
37;Tes yeux noirs;Indochine;['Rock'];320.0;France;0.0
38;Voyage voyage;Desireless;['Pop', 'Pop internationale', 'Variété Internationale', 'Disco', 'Soul & Funk'];266.0;France;0.0
39;Maria Magdalena;Sandra;['Pop'];240.0;Inconnue;0.0
40;Sauver l'amour;Daniel Balavoine;['Pop'];261.0;France;0.0
41;Russians;Sting;['Pop'];237.0;Royaume-Uni;0.0
42;A different corner;George Michael;['Pop'];243.0;Royaume-Uni;0.0
43;Chain reaction;Diana Ross;['Rap/Hip Hop'];230.0;États-Unis;0.0
44;Close to me;The Cure;['Alternative'];219.0;Royaume-Uni;0.0
45;Rock me Amadeus;Falco;['Pop'];227.0;Autriche;0.0
46;Exotic and erotic;Sandy Marton;['Dance'];258.0;Yougoslavie;0.0
47;Sledgehammer;Peter Gabriel;['Rock'];313.0;72 ansChobham;0.0
48;Capitaine abandonné;Gold;['Pop'];231.0;France;0.0
49;L'amour à la plage;Niagara;['Pop'];200.0;France;0.0
