;title;artist;genres;duration;pays;explicit_content
0;I'll be missing you;Puff Daddy & Faith Evans Feat. 112;['Pop'];305.0;États-Unis;0.0
1;Maria;Ricky Martin;['Rock', 'Latino'];271.0;PortoRico;0.0
2;Men in black;Will Smith;['Pop'];227.0;États-Unis;0.0
3;Bitter sweet symphony;The Verve;['Rock'];357.0;Royaume-Uni;0.0
4;Alright;Jamiroquai;['Pop'];222.0;Royaume-Uni;0.0
5;Around the world;Daft Punk;['Dance'];429.0;France;0.0
6;Don't speak;No Doubt;['Pop'];262.0;États-Unis;0.0
7;Les temps changent;M.C. Solaar;['Rap/Hip Hop'];198.0;Inconnue;0.0
8;Sache que je;Jean-Jacques Goldman;['Chanson française'];325.0;France;0.0
9;Say what you want;Texas;['Rock'];233.0;Écosse;0.0
10;Your woman;White Town;['Electro'];259.0;Inconnue;0.0
11;Free;Ultra Nate;['Dance'];233.0;Maryland;0.0
12;You might need somebody;Shola Ama;['Pop'];289.0;43 ansPaddington;0.0
13;You're not alone;Olive;['Pop'];250.0;Royaume-Uni;0.0
14;2 become 1;Spice Girls;['Pop'];241.0;Royaume-Uni;0.0
15;Hedonism (just because you feel good);Skunk Anansie;['Rock'];207.0;Royaume-Uni;1.0
16;Mmmbop;Hanson;['Pop'];268.0;États-Unis;0.0
17;Barbie girl;Aqua;['Pop'];197.0;Danemark;0.0
18;La neige au Sahara;Anggun;['Chanson française'];258.0;Indonésie;0.0
19;Lucie;Pascal Obispo;['Pop'];258.0;France;0.0
20;Bohemian rhapsody;Braids;['R&B'];238.0;Inconnue;0.0
21;Con te partiro;Andrea Bocelli;['Pop'];250.0;ProvincedePise-Italie;0.0
22;Cosmic girl;Jamiroquai;['Pop'];227.0;Royaume-Uni;0.0
23;Da funk;Daft Punk;['Dance'];328.0;France;0.0
24;Don't leave me;Blackstreet;['R&B'];310.0;États-Unis;0.0
25;Don't let go (love);En Vogue;['R&B'];291.0;États-Unis;0.0
26;Encore une fois;Sash!;['Dance'];221.0;Allemagne;0.0
27;Nés sous la même étoile;Iam;['Rap/Hip Hop'];231.0;France;0.0
28;Un-break my heart;Toni Braxton;['R&B', 'Soul'];270.0;États-Unis;0.0
29;Discothèque;U2;['Rock'];320.0;Irlande;0.0
30;J'ai pas de face;Akhenaton;['Rap/Hip Hop'];266.0;Bouches-du-Rhône;0.0
31;Let a boy cry;Gala;['Dance'];203.0;Inconnue;0.0
32;On ira;Jean-Jacques Goldman;['Chanson française'];264.0;France;0.0
33;Staring at the sun;U2;['Rock'];276.0;Irlande;0.0
34;Vision of life;Down Low;['Pop'];263.0;Inconnue;0.0
35;Who do you think you are;Spice Girls;['Pop'];240.0;Royaume-Uni;0.0
36;Anybody seen my baby?;The Rolling Stones;['Rock'];271.0;Inconnue;0.0
37;Bitch;Meredith Brooks;['Pop'];252.0;États-Unis;0.0
38;Gangster moderne;M.C. Solaar;['Rap/Hip Hop'];245.0;Inconnue;0.0
39;Got 'til it's gone;Janet Jackson Feat. Q-Tip & Joni Mitchell;[];;États-Unis;
40;I believe I can fly;R. Kelly;['R&B'];284.0;Inconnue;0.0
41;Just a girl;No Doubt;['Pop'];205.0;États-Unis;0.0
42;L'empire du côté obscur;Iam;['Rap/Hip Hop'];261.0;France;0.0
43;L'homme pressé;Noir Desir;['Rock'];225.0;France;0.0
44;One and one;Robert Miles Feat. Maria Nayler;['Dance', 'Pop'];243.0;Suisse;0.0
45;Où et avec qui tu m'aimes ?;Pascal Obispo;['Pop'];225.0;France;0.0
46;Savoir aimer;Florent Pagny;['Pop'];282.0;France;0.0
47;You learn;Alanis Morissette;['Pop'];261.0;Canada;0.0
48;You oughta know;Alanis Morissette;['Pop'];249.0;Canada;1.0
49;Alane;Wes;['Dance'];175.0;douDouala;0.0
