;title;artist;genres;duration;pays;explicit_content
0;Family affair;Mary J. Blige;['R&B'];266.0;NewYorkÉtats-Unis;0.0
1;It wasn't me;Shaggy;['Pop'];227.0;Jamaïque;0.0
2;7 days;Craig David;['Pop'];235.0;Angleterre;0.0
3;You rock my world;Michael Jackson;['Pop'];265.0;États-Unis;0.0
4;Hasta la vista;M.C. Solaar;['Rap/Hip Hop'];203.0;Inconnue;0.0
5;911;Wyclef Jean Feat. Mary J. Blige;['Pop'];259.0;Haïti;0.0
6;Miss California;Dante Thomas Feat. Pras;['Pop'];247.0;Inconnue;0.0
7;So I begin;Galleon;['Electro', 'Pop'];237.0;arseille,Bouches-du-Rhône,France;0.0
8;J'en rêve encore;De Palmas;['Pop'];241.0;LaRéunion;0.0
9;Me gustas tu;Manu Chao;[];240.0;France;0.0
10;Can't get you out of my head;Kylie Minogue;['Rock'];230.0;54 ansMelbourne;0.0
11;Sous le vent;Garou & Celine Dion;[];211.0;Canada;0.0
12;Tomber;De Palmas;['Pop'];200.0;LaRéunion;0.0
13;All for you;Janet Jackson;['Pop'];330.0;États-Unis;0.0
14;Seul;Garou;[];281.0;Canada;0.0
15;U remind me;Usher;['Rap/Hip Hop', 'R&B'];266.0;États-Unis;0.0
16;Love don't cost a thing;Jennifer Lopez;['Pop'];221.0;États-Unis;0.0
17;Here with me;Dido;['Pop'];255.0;Angleterre;0.0
18;Survivor;Destiny'S Child;['Pop'];254.0;Inconnue;0.0
19;Sing;Travis;['Alternative'];228.0;Royaume-Uni;0.0
20;Come along;Titiyo;['Pop'];223.0;Suède;0.0
21;It's raining men;Geri Halliwell;['Pop'];254.0;50 ansWatford;0.0
22;Solaar pleure;M.C. Solaar;['Rap/Hip Hop'];295.0;Inconnue;0.0
23;R'n'b 2 rue;Matt;['Rap/Hip Hop'];232.0;Inconnue;0.0
24;Le vent nous portera;Noir Desir;['Rock'];289.0;France;0.0
25;Stan;Eminem Feat. Dido;['Pop'];404.0;États-Unis;0.0
26;Starlight;The Supermen Lovers Feat. Mani Hoffman;[];;47 ansParis;
27;Angel;Shaggy Feat. Rayvon;['Pop'];230.0;Jamaïque;0.0
28;Walking away;Craig David;['Pop'];204.0;Angleterre;0.0
29;A ma place;Axel Bauer & Zazie;['Pop'];329.0;61 ansParis;0.0
30;Supreme;Robbie Williams;['Rock'];258.0;Royaume-Uni;0.0
31;Play;Jennifer Lopez;['Pop'];211.0;États-Unis;1.0
32;Lady Marmalade;C. Aguilera, Lil' Kim, Mya & Pink;[];;Inconnue;
33;Let me blow ya mind;Eve Feat. Gwen Stefani;['Pop'];251.0;États-Unis;0.0
34;Who's that girl?;Eve;['Rock'];282.0;États-Unis;1.0
35;Case of the ex;Mya;['Pop'];236.0;États-Unis;0.0
36;Can't fight the moonlight;Leann Rimes;['Country'];215.0;Mississippi;0.0
37;Ms. Jackson;Outkast;['Rap/Hip Hop'];270.0;États-Unis;1.0
38;Things I've seen;Spooks;['Rap/Hip Hop'];241.0;Inconnue;1.0
39;Rue de la paix;Zazie;['Pop'];254.0;France;0.0
40;Another day in paradise;Brandy & Ray J;['Pop'];271.0;Inconnue;0.0
41;Little L.;Jamiroquai;['Pop'];295.0;Royaume-Uni;0.0
42;On a tous le droit;Liane Foly;['Pop'];236.0;France;0.0
43;Digital love;Daft Punk;['Dance'];301.0;France;0.0
44;All good?;De La Soul Feat. Chaka Khan;[];;États-Unis;
45;Hunter;Dido;['Pop'];237.0;Angleterre;0.0
46;Une seule vie (marcher dans le sable);De Palmas;['Pop'];184.0;LaRéunion;0.0
47;One more time;Daft Punk;['Dance'];320.0;France;0.0
48;Bootylicious;Destiny'S Child;['Pop'];207.0;Inconnue;0.0
49;Dream on;Depeche Mode;['Rock'];219.0;Basildon,Essex,Angleterre;0.0
