;title;artist;genres;duration;pays;explicit_content
0;Born to be alive;Patrick Hernandez;['Dance', 'Pop'];188;France;0
1;Ring my bell;Anita Ward;['R&B'];491;TennesseeÉtats-Unis;0
2;Le freak;Chic;['R&B'];327;États-Unis;0
3;Je l'aime à mourir;Francis Cabrel;['Chanson française'];164;France;0
4;I was made for lovin' you;Kiss;['Rock'];271;Inconnue;0
5;Honesty;Billy Joel;['Pop'];233;États-Unis;0
6;Da ya think I'm sexy?;Rod Stewart;['Pop', 'Rock'];331;Angleterre;0
7;Knock on wood;Amii Stewart;['Soul'];251;D.C.États-Unis;0
8;Man gave names to all the animals;Bob Dylan;['Rock'];267;États-Unis;0
9;The logical song;Supertramp;['Rock'];249;Royaume-Uni;0
10;Monday, tuesday... laissez moi danser;Dalida;['Pop'];226;Royaumed'Égypte;0
11;In the navy;Village People;['Dance', 'Pop', 'Rock'];339;États-Unis;0
12;Boogie wonderland;Earth, Wind & Fire With The Emotions;['Pop'];288;Inconnue;0
13;Equinoxe 4;Jean-Michel Jarre;['Electro'];425;France;0
14;Le coeur grenadine;Laurent Voulzy;[];348;France;0
15;D.I.S.C.O.;Ottawan;['Alternative', 'Pop'];199;France;0
16;Too much heaven;Bee Gees;['Pop'];295;Royaume-UniDouglas;0
17;Rosalie;Carlos;['Pop'];271;0février19435earrondissementdeParis;0
18;Le chanteur;Daniel Balavoine;['Pop'];233;France;0
19;Song for guy;Elton John;['Pop'];410;Royaume-Uni;0
20;One way ticket;Eruption;['Pop'];213;Royaume-Uni;0
21;Goodbye stranger;Supertramp;['Rock'];348;Royaume-Uni;0
22;Video killed the radio star;The Buggles;['Pop'];253;Royaume-Uni;0
23;Gotta go home;Boney M.;['Pop'];225;AllemagneJamaïqueRoyaume-UniPays-Bas;0
24;Tragedy;Bee Gees;['Pop', 'R&B', 'Soul'];300;Royaume-UniDouglas;0
25;Heart of glass;Blondie;['Pop'];252;États-Unis;0
26;J'écoute de la musique saoûle;Francoise Hardy;['Pop'];253;France;0
27;I will survive;Gloria Gaynor;['R&B', 'Disco'];265;79 ans;0
28;Pop muzik;M;['Pop'];200;France;0
29;Y.M.C.A.;Village People;['Dance', 'Pop', 'Rock', 'Disco'];286;États-Unis;0
30;Manuréva;Alain Chamfort;['Pop'];403;France;0
31;Aline;Christophe;['Jazz'];169;France;0
32;September;Earth, Wind & Fire;['R&B'];215;États-Unis;0
33;Nous;Herve Vilard;['Pop'];215;France;0
34;Où est passée ma Bohème;Julio Iglesias;['Pop', 'Pop internationale', 'Rock'];233;Espagne;0
35;Show me you're man enough;Karen Cheryl;['Disco'];239;France;0
36;Où est ma ch'mise grise;Patrick Topaloff & Sim;['Chanson française', 'Jeunesse'];185;0décembre194415earrondissementdeParis;0
37;My Sharona;The Knack;['Rock'];295;États-Unis;0
38;Gimme! gimme! gimme!;Abba;['Pop'];289;Suède;0
39;You can do it;Al Hudson & The Partners;['Pop'];423;Inconnue;0
40;Good times;Chic;['Pop'];495;États-Unis;0
41;Le dernier slow;Joe Dassin;['Chanson française'];211;États-Unis;0
42;Dans la même année;Michel Sardou;['Pop'];246;France;0
43;Tout petit la planète;Plastic Bertrand;['Alternative', 'Rock indé', 'Pop', 'Rock', 'Rock français'];252;Belgique;0
44;Aux armes et caetera;Serge Gainsbourg;['Pop'];187;France;0
45;Gloria;Umberto Tozzi;['Pop'];262;Italie;0
46;Hooray hooray it's a holi-holiday;Boney M.;['Pop'];235;AllemagneJamaïqueRoyaume-UniPays-Bas;0
47;Sultans of swing;Dire Straits;['Rock'];348;Royaume-Uni;0
48;L'été s'ra chaud;Eric Charden;['Chanson française'];284;Indochinefrançaise;0
49;Le bon temps du rock'n'roll;Johnny Hallyday;['Pop'];190;France;0
