;title;artist;genres;duration;pays;explicit_content
0;Hymn for the weekend;Coldplay Feat. Beyonce;[];250.0;Londres,Angleterre;0.0
1;Can't stop the feeling;Justin Timberlake;['Pop', 'Pop internationale', 'Rock'];236.0;États-Unis;0.0
2;I took a pill in ibiza;Mike Posner;['Singer & Songwriter'];280.0;États-Unis;1.0
3;This girl;Kungs Vs. Cookin' On 3 Burners;['Dance'];195.0;Inconnue;0.0
4;Catch & release;Matt Simons;['Alternative'];240.0;35 ansPaloAlto;0.0
5;Cheap thrills;Sia;['Pop'];211.0;Inconnue;0.0
6;Don't be so shy;Imany;['Pop'];221.0;France;0.0
7;Lost on you;Lp;['Alternative'];268.0;Inconnue;0.0
8;J'ai cherche;Amir;['Pop'];212.0;38 ansParis 12e;0.0
9;This is what you came for;Calvin Harris & Rihanna;['Electro', 'Techno/House', 'Dance', 'Pop'];222.0;Royaume-Uni;0.0
10;Le lac;Julien Dore;['Chanson française'];235.0;40 ansAlès;0.0
11;Stressed out;Twenty One Pilots;['Alternative'];202.0;États-Unis;0.0
12;Hundred miles;Yall Feat. Gabriela Richardson;['Dance', 'Pop'];163.0;Espagne;0.0
13;7 years;Lukas Graham;['Pop'];237.0;anemark;0.0
14;Let me love you;Dj Snake Feat. Justin Bieber;[];204.0;Inconnue;0.0
15;Bang my head;David Guetta Feat. Sia & Fetty Wap;['Dance'];193.0;55 ansParis;0.0
16;Faded;Alan Walker;['Electro', 'Techno/House', 'Dance'];212.0;Inconnue;0.0
17;Should've gone home (je ne suis qu'un homme);Mans Zelmerlow;['Pop'];212.0;Suède;0.0
18;Autour de moi;Frero Delavega;['Pop'];192.0;Inconnue;0.0
19;Aloha;Møme Feat. Merryn Jeann;['Electro'];216.0;33 ans;0.0
20;Adventure of a lifetime;Coldplay;['Alternative'];263.0;Londres,Angleterre;0.0
21;Miracle;Julian Perretta;['Pop'];162.0;Royaume-Uni;0.0
22;The greatest;Sia;['Pop'];210.0;Inconnue;0.0
23;Don't worry;Madcon Feat. Ray Dalton;['Pop'];214.0;Norvège;0.0
24;Don't you know;Kungs Feat. Jamie N Commons;[];;France;
25;Ride;Twenty One Pilots;['Alternative'];214.0;États-Unis;0.0
26;The ocean;Mike Perry Feat. Shy Martin;['Electro', 'Techno/House', 'Dance', 'Pop', 'Pop internationale', 'Rock'];183.0;Inconnue;0.0
27;Le coeur élephant;Frero Delavega;['Pop'];232.0;Inconnue;0.0
28;24k magic;Bruno Mars;['Pop'];225.0;États-Unis;0.0
29;Hello;Adele;['Pop'];295.0;Royaume-Uni;0.0
30;Starboy;The Weeknd Feat. Daft Punk;['Pop', 'Singer & Songwriter'];199.0;Canada;0.0
31;Duele el corazon;Enrique Iglesias Feat. Wisin;['Pop', 'Pop internationale', 'Rock', 'Latino'];199.0;Espagne;0.0
32;Ton visage;Frero Delavega;['Pop'];159.0;Inconnue;0.0
33;Blind;Feder Feat. Emmi;['Dance'];194.0;Inconnue;0.0
34;We don't talk anymore;Charlie Puth Feat. Selena Gomez;['Pop'];217.0;États-Unis;0.0
35;Middle;Dj Snake Feat. Bipolar Sunshine;['Dance', 'Pop'];256.0;Inconnue;0.0
36;On dirait;Amir;['Pop'];195.0;38 ansParis 12e;0.0
37;Love yourself;Justin Bieber;['Pop'];233.0;28 ansLondon;0.0
38;My way;Calvin Harris;['Dance', 'Pop', 'Pop internationale', 'Rock'];219.0;Royaume-Uni;0.0
39;I cry;Julian Perretta;['Pop'];175.0;Royaume-Uni;0.0
40;Heathens;Twenty One Pilots;['Alternative'];195.0;États-Unis;0.0
41;Un homme debout;Claudio Capeo;['Chanson française', 'Pop'];206.0;Haut-Rhin;0.0
42;Maman;Louane;['Pop'];161.0;France;0.0
43;Marvin gaye;Charlie Puth Feat. Meghan Trainor;['Pop'];187.0;États-Unis;0.0
44;Cold water;Major Lazer Feat. Justin Bieber & Mø;['Electro'];185.0;États-Unis;0.0
45;Light it up;Major Lazer Feat. Nyla;['Electro'];198.0;États-Unis;0.0
46;Work;Rihanna Feat. Drake;[];215.0;Barbade;0.0
47;Don't wanna know;Maroon 5 Feat. Kendrick Lamar;['Pop'];216.0;États-Unis;0.0
48;Locked away;R. City Feat. Adam Levine;['Pop', 'Pop internationale', 'Rock', 'R&B'];227.0;Inconnue;0.0
49;I hate u i love u;Gnash;['Pop'];226.0;Inconnue;1.0
