;title;artist;genres;duration;pays;explicit_content
0;The world is stone;Cyndi Lauper;['Pop'];258.0;États-Unis;0.0
1;You;Ten Sharp;['Pop'];272.0;Inconnue;0.0
2;Don't let the sun go down on me;George Michael & Elton John;['Pop'];347.0;Royaume-Uni;0.0
3;Night calls;Joe Cocker;['Rock'];208.0;Angleterre;0.0
4;Rhythm is a dancer;Snap!;['Dance'];332.0;Inconnue;0.0
5;Be my baby;Vanessa Paradis;['Pop'];221.0;France;0.0
6;Caroline;M.C. Solaar;['Rap/Hip Hop'];283.0;Inconnue;0.0
7;I love your smile;Shanice;['Pop'];228.0;États-Unis;0.0
8;Iron lion zion;Bob Marley;['Reggae'];192.0;"

6février1945NineMiles";0.0
9;Joy;Francois Feldman;['Pop'];248.0;France;0.0
10;One;U2;['Pop'];277.0;Irlande;0.0
11;Smells like teen spirit;Nirvana;['Rock'];301.0;États-Unis;0.0
12;Laid so low (tears roll down);Tears For Fears;[];272.0;Bath,Somerset,Angleterre;0.0
13;The show must go on;Queen;['Rock'];263.0;Royaume-Uni;0.0
14;It's probably me;Sting & Eric Clapton;['Pop'];302.0;Royaume-Uni;0.0
15;Le chat;Pow Wow;['Pop'];171.0;rance;0.0
16;My destiny;Lionel Richie;['Pop'];288.0;États-Unis;0.0
17;Saudade;Etienne Daho;['Pop'];209.0;Algériefrançaise;0.0
18;Do it to me;Lionel Richie;['Pop'];364.0;États-Unis;0.0
19;Je t'aime mélancolie;Mylene Farmer;['Pop'];283.0;Canada;0.0
20;Please don't go;Double You;['Electro', 'Dance', 'Disco'];200.0;Inconnue;0.0
21;Remember the time;Michael Jackson;['Pop'];239.0;États-Unis;0.0
22;The music's got me;Bass Bumpers Feat. E. Mello & Felicia;[];;Allemagne;
23;The one;Elton John;['Pop'];241.0;Royaume-Uni;0.0
24;Black or white;Michael Jackson;['Pop'];254.0;États-Unis;0.0
25;Come as you are;Nirvana;['Rock'];218.0;États-Unis;0.0
26;Des attractions désastre;Etienne Daho;['Pop'];188.0;Algériefrançaise;0.0
27;In the closet;Michael Jackson;['Pop'];390.0;États-Unis;0.0
28;Let's talk about sex;Salt-N-Pepa;['R&B'];213.0;États-Unis;0.0
29;No ordinary love;Sade;['Pop'];440.0;Royaume-Uni;0.0
30;Perché lo fai;Marco Masini;['Pop'];281.0;Italie;0.0
31;Who is it;Michael Jackson;['Pop'];393.0;États-Unis;0.0
32;Beyond my control;Mylene Farmer;['Pop'];320.0;Canada;0.0
33;Change;Lisa Stansfield;['Pop'];274.0;Angleterre;0.0
34;Heal the world;Michael Jackson;['Pop'];384.0;États-Unis;0.0
35;Hold on my heart;Genesis;['Rock'];278.0;Royaume-Uni;0.0
36;I can't dance;Genesis;['Rock'];241.0;Royaume-Uni;0.0
37;Jesus he knows me;Genesis;['Rock'];256.0;Royaume-Uni;0.0
38;My lovin';En Vogue;['R&B'];281.0;États-Unis;0.0
39;Pas d'ami (comme toi);Stephan Eicher;['Pop'];218.0;Suisse;0.0
40;Runaway train;Elton John & Eric Clapton;['Pop'];322.0;Royaume-Uni;0.0
41;To be with you;Mr. Big;['Rock'];207.0;États-Unis;0.0
42;Too funky;George Michael;['Pop'];224.0;Royaume-Uni;0.0
43;Hail hail rock'n'roll;Garland Jeffreys;['Pop'];233.0;79 ansBrooklyn;0.0
44;Jam;Michael Jackson;['Pop'];384.0;États-Unis;0.0
45;Jump;Kris Kross;['Rap/Hip Hop'];195.0;États-Unis;0.0
46;Nothing else matters;Metallica;['Pop'];388.0;États-Unis;0.0
47;Stars;Simply Red;['Pop'];248.0;Royaume-Uni;0.0
48;This used to be my playground;Madonna;['Pop'];310.0;États-Unis;0.0
49;1990;Jean Leloup;['Pop'];311.0;Canada;0.0
