;title;artist;genres;duration;pays;explicit_content
0;Girls just want to have fun;Cyndi Lauper;['Pop'];238;États-Unis;0
1;99 luftballons;Nena;['Pop'];232;Allemagnedel'Ouest;0
2;Cargo;Axel Bauer;['Chanson française'];290;61 ansParis;0
3;Owner of a lonely heart;Yes;['Rock'];268;Royaume-Uni;0
4;Reggae night;Jimmy Cliff;['Pop'];321;Jamaïque;0
5;Thriller;Michael Jackson;['Pop'];357;États-Unis;0
6;Happy children;P. Lion;['Rap/Hip Hop'];356;Italie;0
7;Radio gaga;Queen;['Rock'];343;Royaume-Uni;0
8;Original sin;Inxs;['Rock'];316;Australie;0
9;Relax;Frankie Goes To Hollywood;['Rock'];237;Royaume-Uni;0
10;When the rain begins to fall;Jermaine Jackson & Pia Zadora;['R&B'];243;États-Unis;0
11;Ghostbusters;Ray Parker Jr.;['Pop'];248;États-Unis;0
12;Smalltown boy;Bronski Beat;['Pop'];299;Londres,Angleterre;0
13;On va s'aimer;Gilbert Montagne;['Pop'];242;France;0
14;The reflex;Duran Duran;['Rock'];266;Royaume-Uni;0
15;Somebody's watching me;Rockwell;['Disco'];296;58 ansDétroit;0
16;Susanna;The Art Company;['Pop'];289;Inconnue;0
17;High energy;Evelyn Thomas;['Electro'];409;69 ansChicago;0
18;Toute première fois;Jeanne Mas;['Pop'];258;Espagne;0
19;Un autre monde;Telephone;['Rock'];271;Inconnue;0
20;Still loving you;Scorpions;['Rock'];403;Allemagne;0
21;Dr. Beat;Miami Sound Machine;['Pop'];262;Inconnue;0
22;Talking in your sleep;The Romantics;['Pop'];233;États-Unis;0
23;Don't answer me;The Alan Parsons Project;['Rock'];252;Glasgow,Écosse;0
24;Self control;Raf;['Pop'];238;Inconnue;0
25;Jump;Van Halen;['Rock', 'Hard Rock'];241;États-Unis;0
26;Come back and stay;Paul Young;['Pop'];263;67 ansLuton;0
27;All night long (all night);Lionel Richie;['R&B'];385;États-Unis;0
28;Holiday;Madonna;['Pop'];245;États-Unis;0
29;Femme libérée;Cookie Dingler;['Chanson française'];221;trasbourg,Bas-Rhin,France;0
30;Big in Japan;Alphaville;['Pop'];286;Inconnue;0
31;Envole-moi;Jean-Jacques Goldman;['Chanson française'];306;France;0
32;Din daa daa;George Kranz;['Dance'];251;Inconnue;0
33;Caribbbean queen (no more love on the run);Billy Ocean;['Pop', 'Rock', 'R&B'];244;en;0
34;Street dance;Break Machine;['Dance', 'Rap/Hip Hop', 'Pop', 'Rock'];389;États-Unis;0
35;I just called to say I love you;Stevie Wonder;['Pop'];261;États-Unis;0
36;High on emotion;Chris De Burgh;['Pop'];267;74 ansVenadoTuerto;0
37;Kalimba de luna;Boney M.;['Pop'];253;AllemagneJamaïqueRoyaume-UniPays-Bas;0
38;Time after time;Cyndi Lauper;['Pop'];241;États-Unis;0
39;Dance hall days;Wang Chung;['Pop'];240;ondres,Royaume-Uni;0
40;Wouldn't it be good;Nik Kershaw;['Pop'];273;64 ansBristol;0
41;Gimme all your lovin';Zz Top;['Pop', 'Rock'];241;Inconnue;0
42;Dream;P. Lion;['Electro', 'Chill Out/Trip-Hop/Lounge'];363;Italie;0
43;Disparue;Jean-Pierre Mader;['Chanson française'];189;France;0
44;Against all odds (take a look at me now);Phil Collins;['Pop', 'Rock'];206;Royaume-Uni;0
45;Self control;Laura Branigan;['Pop', 'Rock'];246;États-Unis;0
46;Hong-Kong star;France Gall;['Pop'];256;France;0
47;Sunshine reggae;Laid Back;['Pop'];257;anemark;0
48;To France;Mike Oldfield;['Rock'];279;Royaume-Uni;0
49;Ya mo b there;James Ingram & Michael Mcdonald;['R&B'];279;États-Unis;0
