;title;artist;genres;duration;pays;explicit_content
0;Prayer In C;Lilly Wood & The Prick & Robin Schulz;['Dance'];190;36 ansTelAviv;0
1;Stolen Dance;Milky Chance;['Alternative', 'Pop Indé', 'Rock indé', 'Pop'];313;Allemagne;0
2;Happy;Pharrell Williams;['Pop'];232;États-Unis;0
3;A Sky Full Of Stars;Coldplay;['Alternative', 'Rock'];267;Londres,Angleterre;0
4;Liar Liar;Cris Cab;['Pop'];213;États-Unis;0
5;Chandelier;Sia;['Pop'];216;Inconnue;0
6;Stay With Me;Sam Smith;['Pop'];172;Royaume-Uni;0
7;Budapest;George Ezra;['Pop', 'Singer & Songwriter'];202;29 ansHertford;0
8;Waves;Mr. Probz;['Pop'];208;Pays-Bas;0
9;Instant Crush;Daft Punk Feat. Julian Casablancas;['Pop'];337;France;0
10;Love Never Felt So Good;Michael Jackson & Justin Timberlake;['Pop'];246;États-Unis;0
11;Le Graal;Kyo;['Chanson française'];191;France;0
12;Dernière Danse;Indila;['Pop'];213;France;0
13;Stay High (Habits);Tove Lo;['Alternative'];209;Suède;0
14;Chou Wasabi;Julien Dore;['Chanson française'];225;40 ansAlès;0
15;Am I Wrong;Nico & Vinz;['Pop'];247;odèle:GHANA;0
16;Raise Me Up (Je Respire Encore);Corson;['Pop', 'Pop internationale', 'Variété Internationale', 'Rock', 'Singer & Songwriter'];219;43 ansThionvilleFrance;0
17;All Of Me;John Legend;['R&B'];269;États-Unis;0
18;Rather Be;Clean Bandit Feat. Jess Glynne;['Dance'];227;Royaume-UniCambridge,Angleterre;0
19;Timber;Pitbull Feat. Ke$Ha;['Electro', 'Techno/House', 'Dance', 'Rap/Hip Hop', 'Pop'];204;États-Unis;0
20;Dangerous;David Guetta Feat. Sam Martin;['Dance'];203;55 ansParis;0
21;The Man;Aloe Blacc;['Pop'];255;États-Unis;0
22;Sweet Darling;Frero Delavega;['Pop'];162;Inconnue;0
23;Sirens Call;Cats On Trees;['Pop'];223;France;0
24;Sing;Ed Sheeran;['Pop'];235;Royaume-Uni;0
25;Royals;Lorde;['Alternative'];190;Nouvelle-Zélande;0
26;Hey Brother;Avicii;['Dance'];255;Suède;0
27;Can't Remember To Forget You;Shakira & Rihanna;['Pop'];206;Colombie;0
28;Dark Horse;Katy Perry Feat. Juicy J;[];214;États-Unis;0
29;Demons;Imagine Dragons;['Alternative'];177;États-Unis;0
30;Tous Les Mêmes;Stromae;['Pop'];210;Belgique;0
31;Andalouse;Kendji Girac;['Pop'];167;France;0
32;On Top Of The World;Imagine Dragons;['Alternative'];192;États-Unis;0
33;Magic In The Air;Magic System Feat. Chawki;[];233;Côted'Ivoire;0
34;Counting Stars;Onerepublic;['Pop'];257;Inconnue;0
35;Animals;Maroon 5;['Pop'];229;États-Unis;0
36;Boom Clap;Charli Xcx;['Pop'];169;Inconnue;0
37;Maps;Maroon 5;['Pop'];189;États-Unis;0
38;Addicted To You;Avicii;['Dance'];148;Suède;0
39;Birthday;Katy Perry;['Pop'];215;États-Unis;0
40;Lovers On The Sun;David Guetta Feat. Sam Martin;['Dance'];203;55 ansParis;0
41;Big Girls Cry;Sia;['Pop'];210;Inconnue;0
42;Somewhere Only We Know;Lily Allen;[];208;37 ansLondres;0
43;Un Jour Au Mauvais Endroit;Calogero;['Pop'];229;France;0
44;My Head Is A Jungle;Wankelmut & Emma Louise;['Electro'];213;Inconnue;0
45;Do What U Want;Lady Gaga Feat. R. Kelly;['Jazz', 'Jazz vocal', 'Pop'];187;États-Unis;0
46;Another Love;Tom Odell;['Pop', 'Pop internationale', 'Rock', 'Singer & Songwriter'];244;32 ansChichester;1
47;Paris-Seychelles;Julien Dore;['Chanson française'];197;40 ansAlès;0
48;Changes;Faul & Wad Ad Vs. Pnau;['Electro'];204;Inconnue;0
49;Unconditionally;Katy Perry;['Pop'];228;États-Unis;0
