;title;artist;genres;duration;pays;explicit_content
0;Amoureux solitaires;Lio;['Pop'];221;Portugal;0
1;And the beat goes on;The Whispers;['R&B', 'Soul & Funk'];206;osAngeles,CalifornieÉtats-Unis;0
2;Another brick in the wall;Pink Floyd;['Rock'];228;Royaume-Uni;0
3;One step beyond;Madness;['Pop'];138;Royaume-Uni;0
4;Everybody's got to learn sometime;The Korgis;['Pop'];258;Royaume-Uni;0
5;Funky town;Lipps Inc.;['Pop'];235;Inconnue;0
6;Gaby oh Gaby;Alain Bashung;['Pop'];226;France;0
7;Le banana split;Lio;['Chanson française'];153;Portugal;0
8;Walking on the moon;The Police;['Pop'];301;Royaume-Uni;0
9;Il jouait du piano debout;France Gall;['Pop'];273;France;0
10;Rapper's delight;Sugarhill Gang;['Dance'];427;États-Unis;0
11;When I'm with you;Sparks;['Pop'];348;États-Unis;0
12;Ashes to ashes;David Bowie;['Rock'];216;Royaume-Uni;0
13;Give me the night;George Benson;['Pop'];301;États-Unis;0
14;Le coup de soleil;Richard Cocciante;['Pop'];266;Indochinefrançaise;0
15;Message in a bottle;The Police;['Pop'];289;Royaume-Uni;0
16;Upside down;Diana Ross;['R&B'];245;États-Unis;0
17;Antisocial;Trust;['Pop'];309;France;0
18;La groupie du pianiste;Michel Berger;['Pop'];282;France;0
19;Master blaster;Stevie Wonder;['R&B'];290;États-Unis;0
20;Spacer;Sheila & B. Devotion;['R&B'];375;France;0
21;African reggae;Nina Hagen Band;['Rock'];250;Allemagne;0
22;C'est ma vie;Julio Iglesias;['Pop'];190;Espagne;0
23;Elle;Didier Barbelivien;['Chanson française'];193;France;0
24;Emotional rescue;The Rolling Stones;['Rock'];339;Inconnue;0
25;Johnny & Mary;Robert Palmer;['Pop'];235;Angleterre;0
26;L'encre de tes yeux;Francis Cabrel;['Chanson française'];186;France;0
27;Les jardins du ciel;Jairo;['Pop'];245;Argentine;0
28;Ma gueule;Johnny Hallyday;['Pop'];233;France;0
29;Ma quale idea;Pino D'Angio;['Pop'];262;Inconnue;0
30;Nicolas;Sylvie Vartan;['Pop'];244;Bulgarie;0
31;Traffic;Bernard Lavilliers;['Pop'];271;France;0
32;Woman in love;Barbra Streisand;['Pop'];231;États-Unis;0
33;Atomic;Blondie;['Pop'];230;États-Unis;0
34;Brass in pocket;The Pretenders;['Pop'];184;Londres,Angleterre;0
35;Champagne;Jacques Higelin;['Pop'];271;France;0
36;Coming up;Paul Mccartney;['Pop'];231;Royaume-Uni;0
37;Fame;Irene Cara;['Films/Jeux vidéo', 'Musiques de films'];316;États-Unis;0
38;Food for thought;Ub40;['Rock'];251;Royaume-Uni;0
39;Gimme! gimme! gimme!;Abba;['Pop'];289;Suède;0
40;Macao;Le Grand Orchestre Du Splendid;['Pop'];232;Inconnue;0
41;Manuréva;Alain Chamfort;['Pop'];403;France;0
42;Stomp;The Brothers Johnson;['R&B'];247;tats-Unis;0
43;Don't stand so close to me;The Police;['Rock'];242;Royaume-Uni;0
44;Faut plus me la faire;Valerie Lagrange;['Pop'];322;80 ansParis 18e;0
45;Géant;Alain Chamfort;['Pop'];252;France;0
46;Il faut danser reggae;Dalida;['Pop'];256;Royaumed'Égypte;0
47;Je ne suis pas mort, je dors;Michel Sardou;['Pop'];232;France;0
48;Little Jeannie;Elton John;['Pop'];289;Royaume-Uni;0
49;O.K. Fred;Errol Dunkley;['Reggae'];225;71 ansKingston;0
