;title;artist;genres;duration;explicit_content
0;Beat It;Michael Jackson;['Pop', 'Pop internationale', 'Rock'];257.0;0.0
1;Jeopardy;Greg Kihn Band;['Rock'];229.0;0.0
2;Let's Dance;David Bowie;['Rock'];247.0;0.0
3;Come On Eileen;Dexys Midnight Runners;['Pop'];273.0;0.0
4;Der Kommissar;After The Fire;['Pop'];248.0;0.0
5;Overkill;Men At Work;['Pop'];229.0;0.0
6;She Blinded Me With Science;Thomas Dolby;['Rock'];221.0;0.0
7;Mr. Roboto;Styx;['Rock'];328.0;0.0
8;Little Red Corvette;Prince;['Pop'];303.0;1.0
9;I Won't Hold You Back;Toto;['Pop'];293.0;0.0
10;Solitaire;Laura Branigan;['Pop'];245.0;0.0
11;Even Now;Bob Seger & The Silver Bullet Band;['Rock'];267.0;0.0
12;Flashdance...What A Feeling;Irene Cara;['Electro', 'Techno/House', 'Dance', 'Disco'];237.0;0.0
13;Billie Jean;Michael Jackson;['Pop', 'Pop internationale', 'Rock'];294.0;0.0
14;Photograph;Def Leppard;['Rock'];247.0;0.0
15;Rio;Duran Duran;['Pop'];337.0;0.0
16;My Love;Lionel Richie;['Pop'];243.0;0.0
17;Straight From The Heart;Bryan Adams;['Pop'];211.0;0.0
18;Time (Clock Of The Heart);Culture Club;['Rock'];223.0;0.0
19;Affair Of The Heart;Rick Springfield;['Pop'];226.0;0.0
20;Separate Ways (Worlds Apart);Journey;['Pop'];325.0;0.0
21;Mornin';Jarreau;['Jazz'];258.0;0.0
22;Faithfully;Journey;['Pop', 'Rock'];266.0;0.0
23;Welcome To Heartlight;Kenny Loggins;['Pop'];232.0;0.0
24;It Might Be You;Stephen Bishop;['Films/Jeux vidéo', 'Musiques de films'];256.0;0.0
25;Some Kind Of Friend;Barry Manilow;['Pop'];244.0;0.0
26;Don't Let It End;Styx;['Rock'];294.0;0.0
27;Always Something There To Remind Me;Naked Eyes;['Rock'];218.0;0.0
28;Stranger In My House;Ronnie Milsap;['Country'];253.0;0.0
29;So Wrong;Patrick Simmons;['Dance'];200.0;0.0
30;One On One;Daryl Hall John Oates;['Pop'];257.0;0.0
31;Family Man;Daryl Hall John Oates;['Pop'];205.0;0.0
32;Hungry Like The Wolf;Duran Duran;['Rock'];209.0;0.0
33;Do You Really Want To Hurt Me;Culture Club;['Pop'];263.0;0.0
34;I Couldn't Say No;Robert Ellis Orral With Carlene Carter;[];;
35;We've Got Tonight;Kenny Rogers And Sheena Easton;['Country'];229.0;0.0
36;She's A Beauty;The Tubes;['Rock'];237.0;0.0
37;You Are;Lionel Richie;['Pop'];246.0;0.0
38;Whirly Girl;Oxo;['Classique', 'Rock'];175.0;0.0
39;Gimme All Your Lovin;ZZ Top;['Pop', 'Rock'];241.0;0.0
40;I Know There's Something Going On;Frida;['Pop'];326.0;0.0
41;Try Again;Champaign;['Pop'];226.0;0.0
42;Twilight Zone;Golden Earring;['Pop'];478.0;0.0
43;I Like It;Debarge;['R&B'];279.0;0.0
