;title;artist;genres;duration;explicit_content
0;Somebody That I Used To Know;Gotye Featuring Kimbra;['Alternative', 'Pop Indé', 'Pop'];243.0;0.0
1;Call Me Maybe;Carly Rae Jepsen;['Pop'];193.0;0.0
2;Payphone;Maroon 5 Featuring Wiz Khalifa;['Pop'];231.0;0.0
3;We Are Young;fun. Featuring Janelle Monae;['Alternative'];250.0;0.0
4;Starships;Nicki Minaj;['Rap/Hip Hop'];210.0;1.0
5;Wild Ones;Flo Rida Featuring Sia;['Rap/Hip Hop'];234.0;0.0
6;What Makes You Beautiful;One Direction;['Pop'];200.0;0.0
7;Glad You Came;The Wanted;['Pop'];197.0;0.0
8;Boyfriend;Justin Bieber;['Pop'];171.0;0.0
9;Drive By;Train;['Pop', 'Pop internationale', 'Rock'];196.0;0.0
10;Stronger (What Doesn't Kill You);Kelly Clarkson;['Pop'];221.0;0.0
11;Feel So Close;Calvin Harris;['Dance'];207.0;0.0
12;Where Have You Been;Rihanna;['Pop'];242.0;0.0
13;Part Of Me;Katy Perry;['Pop'];216.0;0.0
14;Scream;Usher;['R&B'];234.0;0.0
15;Back In Time;Pitbull;['Electro', 'Techno/House', 'Dance', 'Pop'];205.0;0.0
16;Take Care;Drake Featuring Rihanna;['Rap/Hip Hop'];277.0;1.0
17;The Motto;Drake Featuring Lil Wayne;['Rap/Hip Hop'];181.0;1.0
18;Dance Again;Jennifer Lopez Featuring Pitbull;['Pop', 'R&B', 'Soul'];237.0;0.0
19;Springsteen;Eric Church;['Country'];263.0;0.0
20;Rumour Has It;Adele;['Pop'];223.0;0.0
21;Lights;Ellie Goulding;['Pop'];210.0;0.0
22;Brokenhearted;Karmin;['Dance', 'Pop'];228.0;0.0
23;Drunk On You;Luke Bryan;['Pop'];213.0;0.0
24;Good Girl;Carrie Underwood;['Country'];205.0;0.0
25;Mercy;Kanye West, Big Sean, Pusha T, 2 Chainz;['Rap/Hip Hop'];329.0;1.0
26;Climax;Usher;['R&B'];232.0;0.0
27;Drank In My Cup;Kirko Bangz;['R&B'];232.0;1.0
28;I Won't Give Up;Jason Mraz;['Pop'];240.0;0.0
29;Titanium;David Guetta Featuring Sia;['Dance'];245.0;0.0
30;Somethin' 'Bout A Truck;Kip Moore;['Country'];213.0;0.0
31;Birthday Cake;Rihanna Featuring Chris Brown;['Pop'];78.0;0.0
32;Fly Over States;Jason Aldean;['Country'];218.0;0.0
33;We Found Love;Rihanna Featuring Calvin Harris;['Pop'];214.0;0.0
34;Set Fire To The Rain;Adele;['Pop'];242.0;0.0
35;Faded;Tyga Featuring Lil Wayne;['Rap/Hip Hop'];203.0;0.0
36;Turn Me On;David Guetta Featuring Nicki Minaj;['Dance'];199.0;0.0
37;Party Rock Anthem;LMFAO Featuring Lauren Bennett & GoonRock;['Pop'];265.0;0.0
38;Sexy And I Know It;LMFAO;['Dance', 'Pop'];199.0;0.0
39;Good Feeling;Flo Rida;['Rap/Hip Hop'];248.0;0.0
40;Cashin' Out;Ca$h Out;['Rap/Hip Hop'];238.0;1.0
41;Everybody Talks;Neon Trees;['Alternative'];177.0;1.0
42;Give Your Heart A Break;Demi Lovato;['Pop'];205.0;0.0
43;Young, Wild & Free;Snoop Dogg & Wiz Khalifa Featuring Bruno Mars;['Films/Jeux vidéo', 'Musiques de films'];207.0;1.0
44;Eyes Open;Taylor Swift;['Films/Jeux vidéo', 'Musiques de films'];244.0;0.0
45;UP!;LoveRance Featuring IamSu & Skipper or 50 Cent;[];;
46;Paradise;Coldplay;['Rock'];278.0;0.0
47;Too Close;Alex Clare;['Pop'];256.0;0.0
48;Moves Like Jagger;Maroon 5 Featuring Christina Aguilera;['Electro', 'Dance'];203.0;0.0
49;Ass Back Home;Gym Class Heroes Featuring Neon Hitch;['Alternative'];222.0;1.0
50;Over You;Miranda Lambert;[];;
51;So Good;B.o.B;[];;
52;Leave You Alone;Young Jeezy Featuring Ne-Yo;[];;
53;Even If It Breaks Your Heart;Eli Young Band;[];;
54;Beez In The Trap;Nicki Minaj Featuring 2 Chainz;['Pop'];275.0;0.0
55;No Hurry;Zac Brown Band;['Country'];226.0;0.0
56;Better Than I Used To Be;Tim McGraw;['Country'];201.0;0.0
57;Work Hard, Play Hard;Wiz Khalifa;['Rap/Hip Hop'];219.0;1.0
58;Come Over;Kenny Chesney;['Country'];248.0;0.0
59;Right By My Side;Nicki Minaj Featuring Chris Brown;['Pop'];265.0;0.0
60;Ayy Ladies;Travis Porter Featuring Tyga;['Rap/Hip Hop'];213.0;1.0
61;No Lie;2 Chainz Featuring Drake;['Rap/Hip Hop'];239.0;0.0
62;HYFR (Hell Ya F*****g Right);Drake Featuring Lil Wayne;['Rap/Hip Hop'];31.0;0.0
63;You Don't Know Her Like I Do;Brantley Gilbert;['Country'];287.0;0.0
64;We Run The Night;Havana Brown Featuring Pitbull;['Electro', 'Dance'];228.0;0.0
65;Burn It Down;Linkin Park;['Alternative'];230.0;0.0
66;Some Nights;fun.;['Alternative'];277.0;1.0
67;Turn Up The Music;Chris Brown;['Pop'];228.0;0.0
68;Heart Attack;Trey Songz;['R&B'];233.0;0.0
69;Beers Ago;Toby Keith;['Country'];208.0;0.0
70;Take It To The Head;DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne;[];;
71;(Kissed You) Good Night;Gloriana;['Country'];232.0;0.0
72;5-1-5-0;Dierks Bentley;['Country'];182.0;0.0
73;Tongue Tied;Grouplove;['Alternative'];218.0;0.0
74;Banjo;Rascal Flatts;['Country'];257.0;0.0
75;One Thing;One Direction;['Pop'];197.0;0.0
76;Wanted;Hunter Hayes;['Pop'];228.0;0.0
77;Midnight City;M83.;['Alternative', 'Rock'];244.0;0.0
78;Time Is Love;Josh Turner;['Country'];200.0;0.0
79;Drink On It;Blake Shelton;['Country'];211.0;0.0
80;Little Talks;Of Monsters And Men;['Alternative'];266.0;0.0
81;Crew Love;Drake Featuring The Weeknd;['Rap/Hip Hop'];208.0;1.0
82;Feel Like A Rock Star;Kenny Chesney & Tim McGraw;['Country'];208.0;0.0
83;Fine By Me;Andy Grammer;['Pop'];172.0;0.0
84;Dancin' Away With My Heart;Lady Antebellum;['Country'];231.0;0.0
85;Got My Country On;Chris Cagle;['Country'];234.0;0.0
86;Postcard From Paris;The Band Perry;['Country'];215.0;0.0
87;Why Ya Wanna;Jana Kramer;['Country'];221.0;0.0
88;Let's Go;Calvin Harris Featuring Ne-Yo;['Dance'];232.0;0.0
89;Nobody's Perfect;J. Cole Featuring Missy Elliott;['Rap/Hip Hop'];410.0;1.0
90;Both Of Us;B.o.B Featuring Taylor Swift;['Rap/Hip Hop'];216.0;1.0
91;Whistle;Flo Rida;['Rap/Hip Hop'];225.0;0.0
92;This Ole Boy;Craig Morgan;['Country'];263.0;0.0
93;Ai Se Eu Te Pego;Michel Telo;['Musique brésilienne'];166.0;0.0
94;The Fighter;Gym Class Heroes Featuring Ryan Tedder;['Alternative'];228.0;0.0
95;Bangarang;Skrillex Featuring Sirah;['Dance'];215.0;1.0
96;Same Damn Time;Future;['Rap/Hip Hop'];273.0;1.0
97;Angel Eyes;Love And Theft;['Country'];186.0;0.0
98;Tonight (Best You Ever Had);John Legend Featuring Ludacris;['Films/Jeux vidéo', 'Musiques de films'];239.0;1.0
99;Cowboys And Angels;Dustin Lynch;['Country'];227.0;0.0
