;title;artist;genres;duration;explicit_content
0;Without You;Nilsson;['Pop'];200.0;0.0
1;Hurting Each Other;Carpenters;['Pop'];168.0;0.0
2;Precious And Few;Climax;['Pop'];164.0;0.0
3;Down By The Lazy River;The Osmonds;['Pop'];160.0;0.0
4;Everything I Own;Bread;['Rock'];187.0;0.0
5;The Lion Sleeps Tonight;Robert John;['Musique africaine'];152.0;0.0
6;Heart Of Gold;Neil Young;['Rock'];187.0;0.0
7;Let's Stay Together;Al Green;['R&B', 'Soul'];199.0;0.0
8;Sweet Seasons;Carole King;['Pop'];194.0;0.0
9;Bang A Gong (Get It On);T. Rex;['Rock'];285.0;0.0
10;The Way Of Love;Cher;['Pop'];138.0;0.0
11;American Pie (Parts I & II);Don McLean;[];;
12;Joy;Apollo featuring Tom Parker;[];;
13;Mother And Child Reunion;Paul Simon;['Pop'];184.0;0.0
14;Don't Say You Don't Remember;Beverly Bremers;['Pop'];204.0;0.0
15;My World;Bee Gees;['Pop'];263.0;0.0
16;Floy Joy;The Supremes;['R&B'];170.0;0.0
17;Never Been To Spain;Three Dog Night;['Pop'];221.0;0.0
18;Jungle Fever;The Chakachas;['Films/Jeux vidéo', 'Musiques de films'];260.0;0.0
19;A Horse With No Name;America;['Pop', 'Rock'];252.0;0.0
20;I Gotcha;Joe Tex;['R&B', 'Soul vieille école', 'Soul'];148.0;0.0
21;I Can't Help Myself (Sugar Pie, Honey Bunch);Donnie Elbert;['R&B', 'Soul & Funk', 'Soul'];155.0;0.0
22;Rock And Roll Lullaby;B.J. Thomas;['Country', 'Pop', 'Rock'];263.0;0.0
23;Anticipation;Carly Simon;['Pop'];201.0;0.0
24;Ain't Understanding Mellow;Jerry Butler & Brenda Lee Eager;['R&B'];260.0;0.0
25;Day After Day;Badfinger;['Rock'];191.0;0.0
26;Runnin' Away;Sly & The Family Stone;['Soul & Funk'];177.0;0.0
27;Black Dog;Led Zeppelin;['Rock'];295.0;0.0
28;Softly Whispering I Love You;The English Congregation;[];;
29;Talking Loud And Saying Nothing - Part I;James Brown;[];;
30;We've Got To Get It On Again;Addrisi Brothers;['Rock'];164.0;0.0
31;Fire And Water;Wilson Pickett;['R&B'];218.0;0.0
32;Ring The Living Bell;Melanie;['Country', 'Singer & Songwriter'];198.0;0.0
33;Stay With Me;Faces;['Rock', 'Rock & Roll/Rockabilly'];278.0;0.0
34;Footstompin' Music;Grand Funk Railroad;['Rock'];226.0;0.0
35;The Nickel Song;Melanie;['Pop'];224.0;0.0
36;You Want It, You Got It;Detroit Emeralds;['R&B', 'Soul'];233.0;0.0
37;Puppy Love;Donny Osmond;['Pop'];184.0;0.0
38;Roundabout;Yes;['Rock'];510.0;0.0
39;In The Rain;The Dramatics;['R&B'];310.0;0.0
40;No One To Depend On;Santana;['Rock'];322.0;0.0
41;Crazy Mama;J.J. Cale;['Rock'];142.0;0.0
42;Until It's Time For You To Go;Elvis Presley;['Rock'];150.0;0.0
43;Handbags And Gladrags;Rod Stewart;['Rock'];233.0;0.0
44;Glory Bound;The Grass Roots;['Pop'];153.0;0.0
45;Could It Be Forever;David Cassidy;['Pop'];137.0;0.0
46;Love Me, Love Me Love;Frank Mills;['Pop'];256.0;0.0
47;The Witch Queen Of New Orleans;Redbone;['Pop'];165.0;0.0
48;Kiss An Angel Good Mornin';Charley Pride;['Country'];123.0;0.0
49;Now Run And Tell That;Denise LaSalle;[];;
50;That's The Way I Feel About Cha;Bobby Womack & Peace;[];;
51;Taurus;Dennis Coffey & The Detroit Guitar Band;[];;
52;Do Your Thing;Isaac Hayes;['R&B'];199.0;0.0
53;Feeling Alright;Joe Cocker;['Rock'];254.0;0.0
54;Every Day Of My Life;Bobby Vinton;[];;
55;Together Let's Find Love;The 5th Dimension;['Pop'];217.0;0.0
56;Iron Man;Black Sabbath;['Rock'];354.0;0.0
57;Brian's Song;Michel Legrand;['Films/Jeux vidéo', 'Musiques de films'];172.0;0.0
58;A Cowboys Work Is Never Done;Sonny & Cher;['Pop'];195.0;0.0
59;Betcha By Golly, Wow;The Stylistics Featuring Russell Thompkins,Jr.;[];;
60;The Day I Found Myself;The Honey Cone;['R&B', 'Soul'];185.0;0.0
61;Take A Look Around;The Temptations;['R&B'];163.0;0.0
62;Slippin' Into Darkness;War;['R&B'];227.0;0.0
63;Diamonds Are Forever;Shirley Bassey;['Pop'];160.0;0.0
64;That's What Love Will Make You Do;Little Milton;['Rock', 'Blues'];238.0;0.0
65;Country Wine;The Raiders;['Pop'];152.0;0.0
66;Do What You Set Out To Do;Bobby Bland;[];;
67;King Heroin;James Brown;['R&B'];238.0;0.0
68;Goin' Down (On The Road To L.A.);Terry Black & Laurel Ward;[];;
69;Mr. Penguin-Pt. I;Lunar Funk;[];;
70;(Oh Lord Won't You Buy Me A) Mercedes Benz;Goose Creek Symphony;['Rock'];196.0;0.0
71;Gimme Some More;The JB's;['Soul & Funk'];185.0;0.0
72;Afro-Strut;The Nite-Liters;['Jazz'];171.0;0.0
73;Standing In For Jody;Johnnie Taylor (The Soul Philosopher);[];;
74;Cheer;Potliquor;[];;
75;Suavecito;Malo;['Rock', 'Latino'];395.0;0.0
76;The First Time Ever I Saw Your Face;Roberta Flack;['Pop'];260.0;0.0
77;Son Of My Father;Giorgio;['Electro', 'Dance'];143.0;0.0
78;Heartbroken Bopper;The Guess Who;['Pop'];295.0;0.0
79;White Lies;Grin;['Pop'];207.0;0.0
80;Living Without You;Manfred Mann's Earth Band;['Rock', 'Rock & Roll/Rockabilly'];216.0;0.0
81;What It Is;The Undisputed Truth;['Pop'];296.0;0.0
82;Waking Up Alone;Paul Williams;['Rock'];220.0;0.0
83;Louisianna;Mike Kennedy;[];;
84;Tiny Dancer;Elton John;['Pop'];375.0;0.0
85;Nice To Be With You;Gallery;['Pop', 'Rock'];183.0;0.0
86;(Love Me) Love The Life I Lead;The Fantastics;['R&B', 'Soul'];186.0;0.0
87;Up In Heah;Ike & Tina Turner;['Rock'];184.0;0.0
88;Tell 'Em Willie Boy 's A'Comin';Tommy James;['Pop', 'Rock'];168.0;0.0
89;Rock Me On The Water;Linda Ronstadt;['Pop'];218.0;0.0
90;Chantilly Lace;Jerry Lee Lewis;['Pop'];168.0;0.0
91;It's Four In The Morning;Faron Young;['Pop'];170.0;0.0
92;Keep On Doin' What You're Doin';Bobby Byrd;['Soul & Funk'];171.0;0.0
93;Your Precious Love;Linda Jones;['Soul'];241.0;0.0
94;It's All Up To You;The Dells;['Soul & Funk'];242.0;0.0
95;Da Doo Ron Ron (When He Walked Me Home);Ian Matthews;[];;
96;Sweet Sixteen;B.B. King;['Rock', 'Blues'];375.0;0.0
97;You Got Me Walking;Jackie Wilson;['Soul'];165.0;0.0
98;Since I Fell For You;Laura Lee;['R&B', 'Soul'];483.0;0.0
99;Brandy;Scott English;[];88.0;0.0
