;title;artist;genres;duration;explicit_content
0;Positions;Ariana Grande;['Pop'];172.0;0.0
1;Forever After All;Luke Combs;['Country'];232.0;0.0
2;Mood;24kGoldn Featuring iann dior;['Alternative', 'Pop'];140.0;1.0
3;Laugh Now Cry Later;Drake Featuring Lil Durk;['Rap/Hip Hop', 'Sports'];181.0;1.0
4;Blinding Lights;The Weeknd;['R&B'];200.0;0.0
5;I Hope;Gabby Barrett Featuring Charlie Puth;['Country'];209.0;0.0
6;WAP;Cardi B Featuring Megan Thee Stallion;['Rap/Hip Hop'];187.0;1.0
7;Savage Love (Laxed - Siren Beat);Jawsh 685 x Jason Derulo;[];;
8;Lemonade;Internet Money & Gunna Featuring Don Toliver & NAV;[];194.0;0.0
9;Holy;Justin Bieber Featuring Chance The Rapper;['Pop'];167.0;0.0
10;Rockstar;DaBaby Featuring Roddy Ricch;[];182.0;0.0
11;Dynamite;BTS;['Musique asiatique'];199.0;0.0
12;Before You Go;Lewis Capaldi;['Alternative'];215.0;0.0
13;For The Night;Pop Smoke Featuring Lil Baby & DaBaby;[];192.0;0.0
14;Watermelon Sugar;Harry Styles;['Pop'];174.0;0.0
15;Go Crazy;Chris Brown & Young Thug;['Rap/Hip Hop', 'R&B'];176.0;1.0
16;Said Sum;Moneybagg Yo;['Rap/Hip Hop'];155.0;1.0
17;Circles;Post Malone;['Rap/Hip Hop'];214.0;0.0
18;Be Like That;Kane Brown With Swae Lee & Khalid;[];;
19;Whats Poppin;Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne;['Rap/Hip Hop'];227.0;1.0
20;Got What I Got;Jason Aldean;['Country'];178.0;0.0
21;Kings & Queens;Ava Max;['Pop'];162.0;0.0
22;More Than My Hometown;Morgan Wallen;['Country'];216.0;0.0
23;Come & Go;Juice WRLD x Marshmello;[];;
24;ily;Surf Mesa Featuring Emilee;[];183.0;0.0
25;One Of Them Girls;Lee Brice;['Country'];188.0;0.0
26;Lonely;Justin Bieber & benny blanco;['Pop'];149.0;1.0
27;Bang!;AJR;['Pop'];170.0;0.0
28;What You Know Bout Love;Pop Smoke;['Rap/Hip Hop'];160.0;0.0
29;Better Together;Luke Combs;['Country'];219.0;0.0
30;Adore You;Harry Styles;['Pop'];207.0;0.0
31;Wonder;Shawn Mendes;['Pop'];172.0;0.0
32;Dreams;Fleetwood Mac;['Rock'];257.0;0.0
33;Tyler Herro;Jack Harlow;['Rap/Hip Hop'];156.0;1.0
34;The Woo;Pop Smoke Featuring 50 Cent & Roddy Ricch;[];;
35;One Beer;HARDY Featuring Lauren Alaina & Devin Dawson;['Country'];173.0;0.0
36;Love You Like I Used To;Russell Dickerson;['Country'];186.0;0.0
37;Don't Start Now;Dua Lipa;['Pop'];183.0;0.0
38;Roses;SAINt JHN;['Rap/Hip Hop'];173.0;1.0
39;Rags2Riches;Rod Wave Featuring ATR Son Son;['Rap/Hip Hop'];167.0;1.0
40;Lovin' On You;Luke Combs;['Country'];194.0;0.0
41;Levitating;Dua Lipa;['Pop'];203.0;0.0
42;Pretty Heart;Parker McCollum;['Country'];244.0;0.0
43;Break My Heart;Dua Lipa;['Pop'];221.0;0.0
44;Some Girls;Jameson Rodgers;['Country'];184.0;0.0
45;Happy Anywhere;Blake Shelton Featuring Gwen Stefani;['Country'];170.0;0.0
46;Mood Swings;Pop Smoke Featuring Lil Tjay;[];;
47;Everywhere But On;Matt Stell;['Country'];210.0;0.0
48;Mr. Right Now;21 Savage & Metro Boomin Featuring Drake;[];;
49;I Should Probably Go To Bed;Dan + Shay;['Country'];171.0;0.0
50;Franchise;Travis Scott Featuring Young Thug & M.I.A.;['Rap/Hip Hop'];202.0;1.0
51;24;Money Man Featuring Lil Baby;['Rap/Hip Hop'];182.0;1.0
52;Spicy;Ty Dolla $ign Featuring Post Malone;['R&B'];144.0;1.0
53;Popstar;DJ Khaled Featuring Drake;['Rap/Hip Hop'];200.0;1.0
54;You Broke Me First.;Tate McRae;['Pop'];169.0;1.0
55;Midnight Sky;Miley Cyrus;['Pop'];223.0;0.0
56;My Ex's Best Friend;Machine Gun Kelly X blackbear;[];;
57;Diamonds;Sam Smith;['Pop'];213.0;0.0
58;Tap In;Saweetie;['Rap/Hip Hop'];139.0;1.0
59;7 Summers;Morgan Wallen;['Country'];210.0;0.0
