;title;artist;genres;duration;explicit_content
0;Fantasy;Mariah Carey;['Pop'];243.0;0.0
1;"Gangsta's Paradise (From ""Dangerous Minds"")";Coolio Featuring L.V.;[];;
2;Runaway;Janet Jackson;['Pop'];214.0;0.0
3;Kiss From A Rose;Seal;['Pop'];288.0;0.0
4;Tell Me;Groove Theory;['R&B'];236.0;0.0
5;As I Lay Me Down;Sophie B. Hawkins;['Pop'];248.0;0.0
6;Only Wanna Be With You;Hootie & The Blowfish;['Pop'];229.0;0.0
7;You Are Not Alone;Michael Jackson;['Pop'];345.0;0.0
8;Back For Good;Take That;['Pop'];242.0;0.0
9;Roll To Me;Del Amitri;['Rock'];132.0;0.0
10;Who Can I Run To;Xscape;['Pop'];216.0;0.0
11;Name;Goo Goo Dolls;['Pop'];270.0;0.0
12;Brokenhearted;Brandy;['Rock'];352.0;0.0
13;Carnival;Natalie Merchant;['Pop', 'Rock'];361.0;0.0
14;I Can Love You Like That;All-4-One;['Pop'];257.0;0.0
15;Run-Around;Blues Traveler;['Rock'];280.0;0.0
16;Waterfalls;TLC;['R&B'];279.0;0.0
17;Do You Sleep?;Lisa Loeb & Nine Stories;['Pop'];233.0;0.0
18;I'd Lie For You (And That's The Truth);Meat Loaf;['Rock'];401.0;0.0
19;I Got 5 On It;Luniz;['Rap/Hip Hop'];253.0;0.0
20;Breakfast At Tiffany's;Deep Blue Something;['Pop'];257.0;0.0
21;I'll Be There For You/This House Is Not A Home;The Rembrandts;['Pop', 'Rock'];406.0;0.0
22;December;Collective Soul;['Rock'];285.0;0.0
23;Before You Walk Out Of My Life/Like This And Like That;Monica;[];;
24;Pretty Girl;Jon B;['R&B'];257.0;0.0
25;Dreaming Of You;Selena;['Pop', 'Latino'];314.0;0.0
26;Boombastic/In The Summertime;Shaggy;[];;
27;Sentimental;Deborah Cox;[];;
28;Let Me Be The One;Blessid Union Of Souls;[];;
29;Comedown;Bush;[];;
30;"Colors Of The Wind (From ""Pocahontas"")";Vanessa Williams;['Jeunesse'];257.0;0.0
31;He's Mine;MoKenStef;['Rap/Hip Hop'];250.0;0.0
32;Sugar Hill;AZ;['Rap/Hip Hop'];249.0;1.0
33;'Til You Do Me Right;After 7;['Pop'];294.0;0.0
34;1st Of Tha Month;Bone Thugs-N-Harmony;['Rap/Hip Hop'];314.0;1.0
35;Don't Take It Personal (Just One Of Dem Days);Monica;['R&B', 'Soul'];258.0;0.0
36;Incarcerated Scarfaces/Ice Cream;Raekwon;[];;
37;Ain't Nuthin' But A She Thing;Salt-N-Pepa;['Rap/Hip Hop'];269.0;0.0
38;Anything;3T;['R&B'];321.0;0.0
39;"A Girl Like You (From ""Empire Records"")";Edwyn Collins;[];;
40;Someone To Love;Jon B. Featuring Babyface;['Films/Jeux vidéo', 'Musiques de films'];273.0;0.0
41;Heaven;Solo;['Pop'];349.0;0.0
42;"How High (From ""The Show"")";Redman/Method Man;[];;
43;Missing;Everything But The Girl;['Pop'];247.0;0.0
44;Let Her Cry;Hootie & The Blowfish;['Pop'];318.0;0.0
45;Macarena (Bayside Boys Mix);Los Del Rio;[];;
46;"Feel The Funk (From ""Dangerous Minds"")";Immature;[];;
47;I Like It, I Love It;Tim McGraw;['Country'];205.0;0.0
48;I Wanna B With U;Fun Factory;['Electro', 'Dance', 'Disco'];213.0;0.0
49;Water Runs Dry;Boyz II Men;['Pop'];200.0;0.0
50;Throw Your Set In The Air;Cypress Hill;['Rap/Hip Hop'];205.0;1.0
51;Cell Therapy;Goodie Mob;['Rap/Hip Hop'];277.0;1.0
52;I Hate U;Prince;['Pop'];233.0;0.0
53;"Summertime In The LBC (From ""The Show"")";The Dove Shack;[];;
54;Automatic Lover (Call For Love);Real McCoy;['Pop'];227.0;0.0
55;Liquid Swords;Genius/GZA;[];;
56;One More Chance/Stay With Me;The Notorious B.I.G.;['Rap/Hip Hop'];277.0;0.0
57;Can I Touch You...There?;Michael Bolton;['Pop'];316.0;0.0
58;Set U Free;Planet Soul;['Electro', 'Techno/House', 'Dance'];258.0;0.0
59;Danger;Blahzay Blahzay;['Rap/Hip Hop'];220.0;0.0
60;Hook;Blues Traveler;['Rock'];290.0;0.0
61;Come With Me;Shai;['R&B'];279.0;0.0
62;Good;Better Than Ezra;['Rock'];185.0;0.0
63;Vibin';Boyz II Men;['Pop'];267.0;0.0
64;A Mover La Colita;Artie The 1 Man Party;['Electro', 'Sports'];297.0;0.0
