;title;artist;genres;duration;explicit_content
0;Reunited;Peaches & Herb;['Pop'];341.0;0.0
1;Heart Of Glass;Blondie;['Pop'];252.0;0.0
2;Music Box Dancer;Frank Mills;['Pop'];198.0;0.0
3;Knock On Wood;Amii Stewart;['Soul'];251.0;0.0
4;Stumblin' In;Suzi Quatro & Chris Norman;['Films/Jeux vidéo', 'Musiques de films'];238.0;0.0
5;In The Navy;Village People;['Dance', 'Pop', 'Rock'];339.0;0.0
6;I Want Your Love;Chic;['R&B'];415.0;0.0
7;Goodnight Tonight;Wings;['Rock'];262.0;0.0
8;Take Me Home;Cher;['Pop'];403.0;0.0
9;He's The Greatest Dancer;Sister Sledge;['R&B'];374.0;0.0
10;What A Fool Believes;The Doobie Brothers;['Rock', 'Rock & Roll/Rockabilly'];219.0;0.0
11;Shake Your Body (Down To The Ground);The Jacksons;['Pop', 'Pop internationale', 'Rock'];233.0;0.0
12;I Will Survive;Gloria Gaynor;['R&B', 'Disco'];265.0;0.0
13;Love Is The Answer;England Dan & John Ford Coley;['Rock'];284.0;0.0
14;Love Takes Time;Orleans;['Pop', 'Rock'];261.0;0.0
15;Blow Away;George Harrison;['Rock'];240.0;0.0
16;Love You Inside Out;Bee Gees;['Pop'];251.0;0.0
17;Love Ballad;George Benson;['Pop'];313.0;0.0
18;Precious Love;Bob Welch;['Pop'];194.0;0.0
19;Hot Stuff;Donna Summer;['R&B'];314.0;0.0
20;I Got My Mind Made Up (You Can Get It Girl);Instant Funk;['Dance'];201.0;0.0
21;Disco Nights (Rock-Freak);G.Q.;['R&B', 'Soul'];233.0;0.0
22;Renegade;Styx;['Rock'];253.0;0.0
23;The Logical Song;Supertramp;['Rock'];249.0;0.0
24;Rock 'n' Roll Fantasy;Bad Company;['Rock', 'Hard Rock'];211.0;0.0
25;Just When I Needed You Most;Randy VanWarmer;['Rock'];241.0;0.0
26;Tragedy;Bee Gees;['Pop'];302.0;0.0
27;Sultans Of Swing;Dire Straits;['Rock'];348.0;0.0
28;Crazy Love;The Allman Brothers Band;['Rock'];226.0;0.0
29;Happiness;The Pointer Sisters;['R&B'];238.0;0.0
30;Hot Number;Foxy;['Pop'];253.0;0.0
31;Roxanne;The Police;['Pop'];188.0;0.0
32;Such A Woman;Tycoon;['Rock'];261.0;0.0
33;Roller;April Wine;['Classique', 'Rock'];217.0;0.0
34;Deeper Than The Night;Olivia Newton-John;['Pop'];219.0;0.0
35;Sweet Lui-Louise;Ironhorse;[];;
36;Don't You Write Her Off;McGuinn, Clark & Hillman;['Rock'];198.0;0.0
37;Get Used To It;Roger Voudouris;['Pop'];182.0;0.0
38;Old Time Rock & Roll;Bob Seger & The Silver Bullet Band;['Rock'];195.0;0.0
39;I (Who Have Nothing);Sylvester;['Dance'];674.0;0.0
40;Honesty;Billy Joel;['Pop'];233.0;0.0
41;Good Times Roll;The Cars;['Pop'];224.0;0.0
42;(If Loving You Is Wrong) I Don't Want To Be Right;Barbara Mandrell;['Country'];184.0;0.0
43;Makin' It;David Naughton;['Pop', 'Disco'];189.0;0.0
44;Ain't Love A Bitch;Rod Stewart;['Pop', 'Rock'];279.0;0.0
45;It Must Be Love;Alton McClain & Destiny;['Rap/Hip Hop', 'Pop'];286.0;0.0
46;Saturday Night, Sunday Morning;Thelma Houston;['Pop'];235.0;0.0
47;Dancer;Gino Soccio;['R&B'];508.0;0.0
48;Little Bit Of Soap;Nigel Olsson;['Pop'];188.0;0.0
49;Diamonds;Chris Rea;['Pop', 'Rock'];294.0;0.0
50;Rhumba Girl;Nicolette Larson;['Country', 'Rock'];232.0;0.0
51;She Believes In Me;Kenny Rogers;['Country'];251.0;0.0
52;We Are Family;Sister Sledge;['Dance', 'Disco'];216.0;0.0
