;title;artist;genres;duration;explicit_content
0;As It Was;Harry Styles;['Pop'];167.0;0.0
1;Bad Habit;Steve Lacy;['Pop', 'R&B', 'Soul'];232.0;1.0
2;I Like You (A Happier Song);Post Malone Featuring Doja Cat;[];193.0;0.0
3;Sunroof;Nicky Youre & dazy;['Pop'];169.0;0.0
4;Super Freaky Girl;Nicki Minaj;['Rap/Hip Hop'];170.0;1.0
5;You Proof;Morgan Wallen;['Country'];157.0;0.0
6;I Ain't Worried;OneRepublic;['Pop'];148.0;0.0
7;The Kind Of Love We Make;Luke Combs;['Country'];224.0;0.0
8;About Damn Time;Lizzo;['Pop'];191.0;1.0
9;Wait For U;Future Featuring Drake & Tems;['Rap/Hip Hop'];189.0;1.0
10;Late Night Talking;Harry Styles;['Pop'];177.0;0.0
11;Me Porto Bonito;Bad Bunny & Chencho Corleone;['Latino'];178.0;1.0
12;Titi Me Pregunto;Bad Bunny;['Latino'];243.0;0.0
13;Vegas;Doja Cat;['Pop'];182.0;1.0
14;Wasted On You;Morgan Wallen;['Country'];178.0;0.0
15;She Had Me At Heads Carolina;Cole Swindell;['Country'];206.0;0.0
16;Heat Waves;Glass Animals;['Pop'];238.0;0.0
17;Jimmy Cooks;Drake Featuring 21 Savage;[];;
18;Running Up That Hill (A Deal With God);Kate Bush;['Pop'];298.0;0.0
19;First Class;Jack Harlow;['Rap/Hip Hop'];173.0;1.0
20;Something In The Orange;Zach Bryan;['Country'];228.0;0.0
21;5 Foot 9;Tyler Hubbard;['Country'];189.0;0.0
22;Stay;The Kid LAROI & Justin Bieber;['Pop'];141.0;1.0
23;I'm Good (Blue);David Guetta & Bebe Rexha;['Dance'];175.0;1.0
24;Shut Down;BLACKPINK;['Pop'];175.0;0.0
25;Break My Soul;Beyonce;['Pop'];278.0;0.0
26;Glimpse Of Us;Joji;['Alternative', 'Pop'];233.0;0.0
27;Hold Me Closer;Elton John & Britney Spears;['Pop'];202.0;0.0
28;Under The Influence;Chris Brown;['R&B'];184.0;1.0
29;Thank God;Kane Brown With Katelyn Brown;[];;
30;Moscow Mule;Bad Bunny;['Latino'];245.0;1.0
31;Fall In Love;Bailey Zimmerman;['Country'];232.0;0.0
32;Betty (Get Money);Yung Gravy;['Rap/Hip Hop'];146.0;0.0
33;Romantic Homicide;d4vd;['Alternative'];132.0;0.0
34;In A Minute;Lil Baby;['Rap/Hip Hop'];200.0;1.0
35;Ghost;Justin Bieber;['Pop'];153.0;0.0
36;Rock And A Hard Place;Bailey Zimmerman;['Country'];207.0;0.0
37;Unstoppable;Sia;['Alternative', 'Electro', 'Dance', 'Pop'];217.0;0.0
38;Son Of A Sinner;Jelly Roll;['Rock'];232.0;1.0
39;Big Energy;Latto;['Alternative', 'Pop Indé', 'Rap/Hip Hop', 'Pop'];173.0;1.0
40;Last Night Lonely;Jon Pardi;['Country'];181.0;0.0
41;Staying Alive;DJ Khaled Featuring Drake & Lil Baby;['Rap/Hip Hop', 'Pop'];178.0;1.0
42;F.N.F. (Let's Go);Hitkidd & GloRilla;['Rap/Hip Hop'];137.0;1.0
43;Left And Right;Charlie Puth Featuring Jung Kook;['Pop'];154.0;0.0
44;Numb;Marshmello & Khalid;['Dance', 'R&B'];155.0;0.0
45;Die For You;The Weeknd;['R&B'];260.0;0.0
46;Efecto;Bad Bunny;['Latino'];213.0;0.0
47;Victoria's Secret;Jax;['Pop'];176.0;1.0
48;Bones;Imagine Dragons;['Alternative'];189.0;0.0
49;Whiskey On You;Nate Smith;['Country'];183.0;0.0
50;Last Last;Burna Boy;[];172.0;0.0
51;Free Mind;Tems;['R&B'];247.0;0.0
52;So Good;Halsey;['Alternative'];176.0;0.0
53;Wishful Drinking;Ingrid Andress With Sam Hunt;['Country'];194.0;0.0
54;Sleazy Flow;SleazyWorld Go Featuring Lil Baby;[];;
55;Golden Hour;JVKE;['Pop'];209.0;0.0
56;Pink Venom;BLACKPINK;['Musique asiatique'];186.0;0.0
57;Gatubela;Karol G x Maldy;[];;
58;Until I Found You;Stephen Sanchez;['Singer & Songwriter'];177.0;0.0
59;Don't Come Lookin';Jackson Dean;['Country'];187.0;0.0
60;Cuff It;Beyonce;['Pop'];225.0;1.0
61;Evergreen;Omar Apollo;['Pop'];216.0;0.0
62;Put It On Me;YoungBoy Never Broke Again;['Rap/Hip Hop'];152.0;1.0
63;Truth About You;Mitchell Tenpenny;['Country'];203.0;0.0
64;Despecha;Rosalia;['Pop'];157.0;0.0
65;Dah Dah DahDah;Nardo Wick;['Rap/Hip Hop'];151.0;1.0
66;Party;Bad Bunny & Rauw Alejandro;['Latino'];227.0;0.0
67;2 Be Loved (Am I Ready);Lizzo;['Pop'];187.0;0.0
68;Billie Eilish.;Armani White;['Rap/Hip Hop'];99.0;1.0
69;Ojitos Lindos;Bad Bunny & Bomba Estereo;['Latino'];258.0;0.0
70;Freestyle;Lil Baby;['Rap/Hip Hop'];162.0;1.0
71;All Mine;Brent Faiyaz;['R&B', 'Soul'];216.0;1.0
72;What My World Spins Around;Jordan Davis;['Country'];186.0;0.0
73;Neverita;Bad Bunny;['Latino'];173.0;0.0
74;Half Of Me;Thomas Rhett Featuring Riley Green;[];;
75;She Likes It;Russell Dickerson & Jake Scott;['Country'];163.0;0.0
76;Talk;Yeat;['Rap/Hip Hop'];174.0;1.0
77;Ghost Story;Carrie Underwood;['Country'];181.0;0.0
78;Music For A Sushi Restaurant;Harry Styles;['Pop'];193.0;0.0
79;Wait In The Truck;HARDY Featuring Lainey Wilson;['Country'];277.0;0.0
80;Despues de La Playa;Bad Bunny;['Latino'];230.0;0.0
81;Static;Steve Lacy;['R&B', 'Soul'];156.0;1.0
82;Like I Love Country Music;Kane Brown;['Country'];234.0;0.0
83;Detox;Lil Baby;['Rap/Hip Hop'];161.0;1.0
84;La Bachata;Manuel Turizo;['Rap/Hip Hop'];162.0;0.0
85;With A Woman You Love;Justin Moore;['Country'];167.0;0.0
86;Country On;Luke Bryan;['Country'];236.0;0.0
87;Calm Down;Rema & Selena Gomez;['Pop'];239.0;0.0
88;Tarot;Bad Bunny & Jhay Cortez;['Electro', 'Dance'];234.0;0.0
89;Pick Me Up;Gabby Barrett;['Country'];169.0;0.0
90;Hell Yeah;Little Big Town;['Country'];175.0;0.0
91;Wild As Her;Corey Kent;['Country'];199.0;0.0
92;Love In The Way;BLEU & Nicki Minaj;['R&B', 'Soul'];221.0;1.0
93;Hot Shit;Cardi B, Ye & Lil Durk;['Rap/Hip Hop'];211.0;1.0
94;Dark Red;Steve Lacy;['R&B'];173.0;0.0
95;Thought You Should Know;Morgan Wallen;['Country'];215.0;1.0
96;Where It Ends;Bailey Zimmerman;['Country'];179.0;0.0
97;Backstage Passes;EST Gee Featuring Jack Harlow;[];;
98;Snap;Rosa Linn;['Alternative', 'Pop Indé', 'Pop'];179.0;0.0
99;Beat The Odds;Lil Tjay;['Rap/Hip Hop', 'Pop'];150.0;1.0
