;title;artist;genres;duration;explicit_content
0;Jessie's Girl;Rick Springfield;['Rock'];195.0;0.0
1;The One That You Love;Air Supply;['Alternative'];223.0;0.0
2;"Theme From ""Greatest American Hero"" (Believe It or Not)";Joey Scarbury;['Pop'];194.0;0.0
3;I Don't Need You;Kenny Rogers;['Country'];206.0;0.0
4;Elvira;The Oak Ridge Boys;['Country'];174.0;0.0
5;Slow Hand;The Pointer Sisters;['Pop'];231.0;0.0
6;Bette Davis Eyes;Kim Carnes;['Pop'];225.0;0.0
7;Boy From New York City;The Manhattan Transfer;['Jazz'];222.0;0.0
8;Hearts;Marty Balin;['Rock'];258.0;0.0
9;Queen Of Hearts;Juice Newton;['Country'];207.0;0.0
10;You Make My Dreams;Daryl Hall John Oates;['Pop'];190.0;0.0
11;Gemini Dream;The Moody Blues;['Pop'];249.0;0.0
12;(There's) No Gettin' Over Me;Ronnie Milsap;['Country'];199.0;0.0
13;Endless Love;Diana Ross & Lionel Richie;['Pop'];267.0;0.0
14;Time;The Alan Parsons Project;['Rock'];304.0;0.0
15;Touch Me When We're Dancing;Carpenters;['Pop'];201.0;0.0
16;Lady (You Bring Me Up);Commodores;['Pop'];289.0;0.0
17;The Stroke;Billy Squier;['Rock'];217.0;0.0
18;Sweet Baby;Stanley Clarke/George Duke;['Jazz'];227.0;0.0
19;It's Now Or Never;John Schneider;['Country'];205.0;0.0
20;All Those Years Ago;George Harrison;['Rock'];227.0;0.0
21;Urgent;Foreigner;['Rock', 'Hard Rock'];271.0;0.0
22;In The Air Tonight;Phil Collins;['Pop', 'Rock'];335.0;0.0
23;Don't Let Him Go;REO Speedwagon;['Pop'];225.0;0.0
24;Medley;Stars On 45;['Pop'];233.0;0.0
25;Modern Girl;Sheena Easton;[];;
26;The Breakup Song (They Don't Write 'Em);Greg Kihn Band;[];;
27;Cool Love;Pablo Cruise;[];;
28;A Woman Needs Love (Just Like You Do);Ray Parker Jr. & Raydio;['Pop', 'R&B'];246.0;0.0
29;Who's Crying Now;Journey;['Pop', 'Rock'];301.0;0.0
30;Fire And Ice;Pat Benatar;['Rock'];199.0;0.0
