;title;artist;genres;duration;explicit_content
0;"Stay (I Missed You) (From ""Reality Bites"")";Lisa Loeb & Nine Stories;[];;
1;I Swear;All-4-One;['Pop'];259.0;0.0
2;Fantastic Voyage;Coolio;['Rap/Hip Hop', 'R&B', 'Soul'];334.0;1.0
3;"Can You Feel The Love Tonight (From ""The Lion King"")";Elton John;['Films/Jeux vidéo', 'Musiques de films'];241.0;0.0
4;Any Time, Any Place/And On And On;Janet Jackson;[];;
5;Don't Turn Around;Ace Of Base;['Pop'];230.0;0.0
6;"Regulate (From ""Above The Rim"")";Warren G & Nate Dogg;[];;
7;Wild Night;John Mellencamp With Me'Shell Ndegeocello;[];;
8;Funkdafied;Da Brat;['Rap/Hip Hop'];185.0;1.0
9;Back & Forth;Aaliyah;['Pop'];229.0;0.0
10;If You Go;Jon Secada;['Rock'];273.0;0.0
11;Shine;Collective Soul;['Rock'];306.0;0.0
12;You Mean The World To Me;Toni Braxton;['R&B', 'Soul'];296.0;0.0
13;Anytime You Need A Friend;Mariah Carey;['Pop'];265.0;0.0
14;I Miss You;Aaron Hall;['R&B'];381.0;0.0
15;"I'll Remember (From ""With Honors"")";Madonna;['Pop'];263.0;0.0
16;When Can I See You;Babyface;['R&B'];229.0;0.0
17;Crazy;Aerosmith;['Rock'];316.0;0.0
18;Your Body's Callin';R. Kelly;['R&B'];275.0;0.0
19;Always;Erasure;['Electro', 'Pop'];211.0;0.0
20;Prayer For The Dying;Seal;['Pop'];331.0;0.0
21;This D.J.;Warren G;['R&B'];203.0;1.0
22;Always In My Heart;Tevin Campbell;['R&B'];338.0;0.0
23;The Sign;Ace Of Base;['Pop'];191.0;0.0
24;"Baby I Love Your Way (From ""Reality Bites"")";Big Mountain;[];;
25;Back In The Day;Ahmad;['Pop'];318.0;0.0
26;The Way She Loves Me;Richard Marx;['Pop'];255.0;0.0
27;Come To My Window;Melissa Etheridge;['Pop'];236.0;0.0
28;You Better Wait;Steve Perry;['Rock'];295.0;0.0
29;Stroke You Up;Changing Faces;['R&B'];352.0;0.0
30;The Most Beautiful Girl In The World;Prince;['R&B'];265.0;0.0
31;100% Pure Love;Crystal Waters;['Pop'];278.0;0.0
32;Willing To Forgive;Aretha Franklin;['R&B', 'Soul'];252.0;0.0
33;Give It Up;Public Enemy;['Rap/Hip Hop'];271.0;1.0
34;Beautiful In My Eyes;Joshua Kadison;['Pop'];249.0;0.0
35;Don't Take The Girl;Tim McGraw;['Country'];249.0;0.0
36;Return To Innocence;Enigma;['Pop'];255.0;0.0
37;"The Place Where You Belong (From ""Beverly Hills Cop III"")";Shai;[];;
38;Fall Down;Toad The Wet Sprocket;['Alternative'];202.0;0.0
39;Tootsee Roll;69 Boyz;['Rap/Hip Hop'];259.0;1.0
40;Booti Call;BLACKstreet;['R&B'];257.0;0.0
41;You Let Your Heart Go Too Fast;Spin Doctors;['Pop'];228.0;0.0
42;Funky Y-2-C;The Puppies;[];;
43;"Anything (From ""Above The Rim"")";SWV;[];;
44;Thinkin' Problem;David Ball;['Pop'];180.0;0.0
45;Selling The Drama;Live;['Rock'];205.0;0.0
46;Whatta Man;Salt-N-Pepa Featuring En Vogue;['R&B'];296.0;0.0
47;Sending My Love;Zhane;['R&B'];221.0;0.0
48;I'm Ready;Tevin Campbell;['R&B'];286.0;0.0
49;Do You Wanna Get Funky;C+C Music Factory;['Dance'];245.0;0.0
50;Nuttin' But Love;Heavy D & The Boyz;['Rap/Hip Hop'];213.0;0.0
51;Backwater;Meat Puppets;['Rock'];220.0;0.0
52;I'm Not Over You;CeCe Peniston;['R&B'];258.0;0.0
53;None Of Your Business;Salt-N-Pepa;['Rap/Hip Hop'];212.0;0.0
54;Bop Gun (One Nation);Ice Cube Featuring George Clinton;[];;
55;"I'll Take You There (From ""Threesome"")";General Public;[];;
56;Closer;Nine Inch Nails;['Pop'];373.0;1.0
57;Love Is All Around;Wet Wet Wet;['Rock'];246.0;0.0
58;Action;Terror Fabulous Featuring Nadine Sutherland;['Reggae', 'Dancehall/Ragga'];229.0;0.0
59;Girls & Boys;Blur;['Rock'];259.0;0.0
60;Got Me Waiting;Heavy D & The Boyz;['Rap/Hip Hop'];271.0;0.0
61;Sleeping In My Car;Roxette;['Pop'];226.0;0.0
62;The Right Kinda Lover;Patti LaBelle;['Rap/Hip Hop'];291.0;0.0
63;Misled;Celine Dion;['Pop'];210.0;0.0
64;What's Up;DJ Miko;['Dance'];315.0;0.0
65;Afternoons & Coffeespoons;Crash Test Dummies;['Pop'];235.0;0.0
66;It's Over Now;Cause And Effect;[];248.0;0.0
67;Nappy Heads;Fugees;['Rap/Hip Hop'];269.0;0.0
68;Never Lie;Immature;['Pop', 'R&B'];301.0;0.0
69;Pumps And A Bump;M.C. Hammer;['Rock'];278.0;0.0
70;Maybe Love Will Change Your Mind;Stevie Nicks;['Rock'];259.0;0.0
71;Your Love Is So Divine;Miranda;['Electro', 'Techno/House', 'Dance'];291.0;0.0
72;Take It Easy;Mad Lion;['Reggae'];274.0;0.0
73;Weekend Love;Queen Latifah;['Rap/Hip Hop'];249.0;0.0
