;title;artist;genres;duration;explicit_content
0;The Night The Lights Went Out In Georgia;Vicki Lawrence;['Pop'];220.0;0.0
1;Neither One Of Us (Wants To Be The First To Say Goodbye);Gladys Knight And The Pips;['R&B'];261.0;0.0
2;Killing Me Softly With His Song;Roberta Flack;['Pop'];286.0;0.0
3;Ain't No Woman (Like The One I've Got);Four Tops;['R&B'];189.0;0.0
4;Break Up To Make Up;The Stylistics;['R&B', 'Soul'];245.0;0.0
5;Tie A Yellow Ribbon Round The Ole Oak Tree;Dawn Featuring Tony Orlando;['Pop'];206.0;0.0
6;Sing;Carpenters;['Pop'];199.0;0.0
7;Danny's Song;Anne Murray;['Pop'];187.0;0.0
8;Also Sprach Zarathustra (2001);Deodato;['Dance'];543.0;0.0
9;The Cisco Kid;War;['R&B'];267.0;0.0
10;Call Me (Come Back Home);Al Green;['R&B'];183.0;0.0
11;Love Train;The O'Jays;['Pop', 'R&B'];178.0;0.0
12;Last Song;Edward Bear;['Pop'];195.0;0.0
13;Masterpiece;The Temptations;['R&B'];830.0;0.0
14;Space Oddity;David Bowie;['Rock'];316.0;0.0
15;Stir It Up;Johnny Nash;['Pop'];178.0;0.0
16;Dead Skunk;Loudon Wainwright III;['Pop'];185.0;0.0
17;The Twelfth Of Never;Donny Osmond;['Pop'];161.0;0.0
18;Dueling Banjos;Deliverance/Eric Weissberg & Steve Mandell;['Pop', 'Films/Jeux vidéo', 'Musiques de films'];196.0;0.0
19;Little Willy;The Sweet;['Pop', 'Rock'];192.0;0.0
20;"The Cover Of ""Rolling Stone""";Dr. Hook And The Medicine Show;['Jeunesse'];173.0;0.0
21;Hummingbird;Seals & Crofts;['Pop'];273.0;0.0
22;Peaceful;Helen Reddy;['Pop'];174.0;0.0
23;Stuck In The Middle With You;Stealers Wheel;['Pop', 'Rock'];208.0;0.0
24;You Are The Sunshine Of My Life;Stevie Wonder;['Pop'];177.0;0.0
25;Aubrey;Bread;['Rock'];219.0;0.0
26;Could It Be I'm Falling In Love;The Spinners;['R&B'];249.0;0.0
27;Walk On The Wild Side;Lou Reed;['Rock'];253.0;0.0
28;Drift Away;Dobie Gray;['Pop'];237.0;0.0
29;I'm Just A Singer (In A Rock And Roll Band);The Moody Blues;['Rock'];256.0;0.0
30;Wildflower;Skylark;['Rock'];250.0;0.0
31;Cook With Honey;Judy Collins;['Pop', 'Folk'];211.0;0.0
32;Daddy's Home;Jermaine Jackson;['Pop'];183.0;0.0
33;A Letter To Myself;The Chi-lites;['Pop'];247.0;0.0
34;Daisy A Day;Jud Strunk;['Country'];169.0;0.0
35;Master Of Eyes (The Deepness Of Your Eyes);Aretha Franklin;['Pop', 'Rock'];205.0;0.0
36;One Man Band (Plays All Alone);Ronnie Dyson;['R&B'];221.0;0.0
37;Bitter Bad;Melanie;['Pop', 'Singer & Songwriter'];156.0;0.0
