;title;artist;genres;duration;explicit_content
0;All I Want For Christmas Is You;Mariah Carey;['Pop'];241.0;0.0
1;Rockin' Around The Christmas Tree;Brenda Lee;[];124.0;0.0
2;Jingle Bell Rock;Bobby Helms;[];132.0;0.0
3;A Holly Jolly Christmas;Burl Ives;[];132.0;0.0
4;It's The Most Wonderful Time Of The Year;Andy Williams;['Classique'];151.0;0.0
5;Feliz Navidad;Jose Feliciano;['Classique'];182.0;0.0
6;Mood;24kGoldn Featuring iann dior;['Alternative', 'Pop'];140.0;1.0
7;Let It Snow, Let It Snow, Let It Snow;Dean Martin;['Pop'];117.0;0.0
8;Last Christmas;Wham!;['Pop'];263.0;0.0
9;Run Rudolph Run;Chuck Berry;['Rock'];165.0;0.0
10;The Christmas Song (Merry Christmas To You);Nat King Cole;[];191.0;0.0
11;Underneath The Tree;Kelly Clarkson;['Pop'];229.0;0.0
12;Sleigh Ride;The Ronettes;['Classique'];181.0;0.0
13;Positions;Ariana Grande;['Pop'];172.0;0.0
14;It's Beginning To Look A Lot Like Christmas;Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra;[];155.0;0.0
15;Rudolph The Red-Nosed Reindeer;Gene Autry;['Classique'];186.0;0.0
16;Santa Tell Me;Ariana Grande;[];204.0;0.0
17;Happy Holiday / The Holiday Season;Andy Williams;['Classique'];156.0;0.0
18;Christmas (Baby Please Come Home);Darlene Love;['Classique'];166.0;0.0
19;White Christmas;Bing Crosby;['Pop'];183.0;0.0
20;Holy;Justin Bieber Featuring Chance The Rapper;['Pop'];167.0;0.0
21;(There's No Place Like) Home For The Holidays (1959);Perry Como With Mitchell Ayers And His Orchestra;[];;
22;It's Beginning To Look A Lot Like Christmas;Michael Buble;[];206.0;0.0
23;Go Crazy;Chris Brown & Young Thug;['Rap/Hip Hop', 'R&B'];176.0;1.0
24;Laugh Now Cry Later;Drake Featuring Lil Durk;['Rap/Hip Hop', 'Sports'];181.0;1.0
25;Here Comes Santa Claus (Right Down Santa Claus Lane);Gene Autry;[];151.0;0.0
26;Levitating;Dua Lipa;['Pop'];203.0;0.0
27;Wonderful Christmastime;Paul McCartney;['Pop'];227.0;0.0
28;For The Night;Pop Smoke Featuring Lil Baby & DaBaby;[];192.0;0.0
29;I Hope;Gabby Barrett Featuring Charlie Puth;['Country'];209.0;0.0
30;Lemonade;Internet Money & Gunna Featuring Don Toliver & NAV;[];194.0;0.0
31;You're A Mean One, Mr. Grinch;Thurl Ravenscroft;[];180.0;0.0
32;Blue Christmas;Elvis Presley;[];125.0;0.0
33;Dakiti;Bad Bunny & Jhay Cortez;['Electro', 'Dance'];193.0;0.0
34;Body;Megan Thee Stallion;['Rap/Hip Hop'];171.0;1.0
35;Mele Kalikimaka (Merry Christmas);Bing Crosby & The Andrews Sisters;[];175.0;0.0
36;Bang!;AJR;['Pop'];170.0;0.0
37;Willow;Taylor Swift;['Alternative'];214.0;0.0
38;This Christmas;Donny Hathaway;['R&B', 'Soul'];231.0;0.0
39;34+35;Ariana Grande Feat. Doja Cat & Megan Thee Stallion;[];;
40;Kings & Queens;Ava Max;['Pop'];162.0;0.0
41;Therefore I Am;Billie Eilish;['Alternative'];173.0;0.0
42;Deck The Halls;Nat King Cole;[];69.0;0.0
43;Dynamite;BTS;['Musique asiatique'];199.0;0.0
44;Please Come Home For Christmas;Eagles;['Pop'];177.0;0.0
45;Santa Claus Is Comin' To Town;Jackson 5;[];144.0;0.0
46;Little Saint Nick;The Beach Boys;[];120.0;0.0
47;Take Me Home For Christmas;Dan + Shay;[];203.0;0.0
48;Have Yourself A Merry Little Christmas;Michael Buble;[];230.0;0.0
49;I'll Be Home For Christmas;Bing Crosby;['Jeunesse', 'Pop'];177.0;0.0
50;What You Know Bout Love;Pop Smoke;['Rap/Hip Hop'];160.0;0.0
51;Whoopty;CJ;['Rap/Hip Hop'];123.0;0.0
52;Lonely;Justin Bieber & benny blanco;['Pop'];149.0;1.0
53;Hallelujah;Carrie Underwood & John Legend;[];275.0;0.0
54;WAP;Cardi B Featuring Megan Thee Stallion;['Rap/Hip Hop'];187.0;1.0
55;Holiday;Lil Nas X;['Pop'];154.0;1.0
56;Better Together;Luke Combs;['Country'];219.0;0.0
57;On Me;Lil Baby;['Rap/Hip Hop'];135.0;1.0
58;Afterglow;Ed Sheeran;['Pop'];185.0;0.0
59;Gnat;Eminem;['Rap/Hip Hop'];230.0;1.0
60;Rockin' Around The Christmas Tree;Justin Bieber;[];132.0;0.0
61;Favorite Time Of Year;Carrie Underwood;[];197.0;0.0
62;Hawai;Maluma & The Weeknd;['Rap/Hip Hop', 'Pop'];200.0;0.0
63;Monster;Shawn Mendes & Justin Bieber;['Pop'];178.0;0.0
64;Diamonds;Sam Smith;['Pop'];213.0;0.0
