;title;artist;genres;duration;explicit_content
0;Fallin';Alicia Keys;['R&B'];210.0;0.0
1;I'm Real;Jennifer Lopez Featuring Ja Rule;['Pop', 'R&B', 'Soul'];258.0;0.0
2;Someone To Call My Lover;Janet;['Pop'];272.0;0.0
3;Hit 'Em Up Style (Oops!);Blu Cantrell;['Pop'];250.0;0.0
4;Let Me Blow Ya Mind;Eve Featuring Gwen Stefani;['Pop'];251.0;0.0
5;Where The Party At;Jagged Edge With Nelly;[];254.0;0.0
6;U Remind Me;Usher;['Rap/Hip Hop', 'R&B'];266.0;0.0
7;It's Been Awhile;Staind;['Pop'];264.0;1.0
8;Drops Of Jupiter (Tell Me);Train;['Rock'];259.0;0.0
9;Hanging By A Moment;Lifehouse;['Pop'];218.0;0.0
10;Peaches & Cream;O-Town;[];;
11;All Or Nothing;Sugar Ray;[];;
12;When It's Over;JAY-Z;[];;
13;Izzo (H.O.V.A.);Craig David;[];;
14;Fill Me In;Incubus;[];;
15;Drive;"Missy ""Misdemeanor"" Elliott";[];;
16;One Minute Man;Blake Shelton;[];;
17;Austin;City High;['Country'];162.0;0.0
18;What Would You Do?;Afroman;[];;
19;Because I Got High;The Isley Brothers Featuring Ronald Isley;[];;
20;Contagious;Dave Matthews Band;[];;
21;The Space Between;Mary J. Blige;[];;
22;Family Affair;Destiny's Child;[];;
23;Bootylicious;Ludacris Featuring Nate Dogg;[];;
24;Area Codes;Trick Daddy;[];;
25;I'm A Thug;Willa Ford;[];;
26;I Wanna Be Bad;Smash Mouth;[];;
27;I'm A Believer;Uncle Kracker;[];;
28;Follow Me;Ginuwine;[];;
29;Differences;The Wiseguys;[];;
30;Start The Commotion;Toby Keith;[];;
31;I'm Just Talkin' About Tonight;D12;[];;
32;Purple Hills;P. Diddy, Black Rob & Mark Curry;[];;
33;Bad Boy For Life;Keith Urban;[];;
34;Where The Blacktop Ends;Enya;[];;
35;Only Time;Jessica Simpson;[];;
36;Irresistible;Cyndi Thomson;[];;
37;What I Really Meant To Say;Eve 6;[];;
38;Here's To The Night;Nelly Featuring City Spud;[];;
39;Ride Wit Me;Dido;['Rap/Hip Hop'];254.0;1.0
40;Thank You;Lonestar;[];;
41;I'm Already There;American Hi-Fi;[];;
42;Flavor Of The Weak;Jamie O'Neal;[];;
43;When I Think About Angels;Brooks & Dunn;[];;
44;Only In America;Jo Dee Messina;[];;
45;Downtime;"Missy ""Misdemeanor"" Elliott";[];;
46;Get Ur Freak On;Nelly Furtado;[];;
47;Turn Off The Light;Mariah Carey Featuring Cameo;[];;
48;Loverboy;Erick Sermon Featuring Marvin Gaye;[];;
49;Music;LFO;['Electro'];222.0;0.0
50;Every Other Time;Trisha Yearwood;[];;
51;I Would've Loved You Anyway;Fabolous Featuring Nate Dogg;[];;
52;Can't Deny It;Tim McGraw;[];;
53;Angry All The Time;3 Doors Down;[];;
54;Be Like That;Toya;[];;
55;I Do!!;Jimmy Cozier;['Pop', 'Pop internationale', 'Variété Internationale', 'Reggae', 'R&B'];212.0;0.0
56;She's All I Got;Jaheim;[];;
57;Just In Case;R. Kelly;[];;
58;Feelin' On Yo Booty;Jill Scott;[];;
59;The Way;Rascal Flatts;['Country'];239.0;0.0
60;While You Loved Me;Michelle Branch;[];;
61;Everywhere;Chris Cagle;[];;
62;Laredo;Faith Hill;[];;
63;There You'll Be;Backstreet Boys;[];;
64;More Than That;Juvenile;[];;
65;Set It Off;Fuel;[];;
66;Bad Day;Violator Featuring Busta Rhymes;[];;
67;What It Is;Five For Fighting;[];;
68;Superman (It's Not Easy);Gorillaz;[];;
69;Clint Eastwood;Alan Jackson;[];;
70;Where I Come From;Alien Ant Farm;[];;
71;Smooth Criminal;Tool;[];;
72;Schism;Phil Vassar;[];;
73;Six-Pack Summer;Sum 41;[];;
74;Fat Lip;Ray J Featuring Lil' Kim;[];;
75;Wait A Minute;Luther Vandross;[];;
76;Take You Out;Ja Rule Featuring Case;[];;
77;Livin' It Up;Gigi D'Agostino;[];;
78;I'll Fly With You (L'amour Toujours);Petey Pablo;[];;
79;Raise Up;Blink-182;[];;
80;The Rock Show;Sara Evans;[];;
81;I Could Not Ask For More;Linkin Park;[];;
82;Crawling;Coo Coo Cal;[];;
83;My Projects;Trick Pony;[];;
84;On A Night Like This;Dream;['Pop'];221.0;0.0
85;This Is Me;Faith Evans Featuring Carl Thomas;[];;
86;Can't Believe;Musiq Soulchild Featuring Ayana;[];;
87;Girl Next Door;matchbox twenty;[];;
88;Mad Season;'N Sync;[];;
89;Pop;Lee Ann Womack;[];192.0;0.0
90;Why They Call It Falling;Christina Milian;[];;
91;AM To PM;Ian Van Dahl Featuring Marsha;[];;
92;Castles In The Sky;Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte;[];;
93;Bia' Bia';Darude;[];;
94;Sandstorm;Nivea;[];;
95;Don't Mess With The Radio;Lionel Richie;[];;
96;Angel;Bubba Sparxxx;[];;
97;Ugly;Samantha Mumba;[];;
98;Baby, Come Over (This Is Our Night);Lil Bow Wow;[];;
99;Ghetto Girls;;[];;
