;title;artist;genres;duration;explicit_content
0;Addicted To Love;Robert Palmer;['Pop'];359.0;0.0
1;West End Girls;Pet Shop Boys;['Pop'];285.0;0.0
2;Kiss;Prince And The Revolution;['Pop'];230.0;0.0
3;Why Can't This Be Love;Van Halen;['Rock', 'Hard Rock'];227.0;0.0
4;Harlem Shuffle;The Rolling Stones;['Rock'];204.0;0.0
5;What Have You Done For Me Lately;Janet Jackson;['Pop'];300.0;0.0
6;Greatest Love Of All;Whitney Houston;['Pop', 'R&B', 'Soul'];291.0;0.0
7;Your Love;The Outfield;['Pop'];221.0;0.0
8;Take Me Home;Phil Collins;['Pop', 'Rock'];353.0;0.0
9;Manic Monday;The Bangles;['Pop'];185.0;0.0
10;Bad Boy;Miami Sound Machine;['Pop'];224.0;0.0
11;If You Leave;Orchestral Manoeuvres In The Dark;['Rock'];270.0;0.0
12;American Storm;Bob Seger;['Rock'];230.0;0.0
13;Live To Tell;Madonna;['Pop'];351.0;0.0
14;Rock Me Amadeus;Falco;['Pop'];227.0;0.0
15;On My Own;Patti LaBelle & Michael McDonald;['R&B'];283.0;0.0
16;I Can't Wait;Nu Shooz;['R&B', 'Soul & Funk', 'Soul'];218.0;0.0
17;Something About You;Level 42;['Pop'];265.0;0.0
18;Let's Go All The Way;Sly Fox;['Pop'];239.0;0.0
19;What You Need;INXS;['Rock'];216.0;0.0
20;All I Need Is A Miracle;Mike + The Mechanics;['Pop', 'Rock'];249.0;0.0
21;I Think It's Love;Jermaine Jackson;['R&B'];232.0;0.0
22;Is It Love;Mr. Mister;['Pop'];217.0;0.0
23;Tender Love;Force M.D.'s;['Pop', 'R&B', 'Soul'];234.0;0.0
24;Be Good To Yourself;Journey;['Pop', 'Rock'];231.0;0.0
25;I Do What I Do... (Theme For 9 1/2 Weeks);John Taylor;['Pop'];222.0;0.0
26;Move Away;Culture Club;['Pop'];256.0;0.0
27;Rough Boy;ZZ Top;['Pop', 'Rock'];287.0;0.0
28;Never As Good As The First Time;Sade;['Pop'];237.0;0.0
29;So Far Away;Dire Straits;['Rock'];307.0;0.0
30;Saturday Love;Cherrelle With Alexander O'Neal;[];;
31;Crush On You;The Jets;['R&B'];270.0;0.0
32;Stick Around;Julian Lennon;['Pop'];245.0;0.0
33;Tomorrow Doesn't Matter Tonight;Starship;['Rock'];221.0;0.0
34;Feel It Again;Honeymoon Suite;['Pop'];277.0;0.0
35;No One Is To Blame;Howard Jones;['Pop'];210.0;0.0
