;title;artist;genres;duration;explicit_content
0;Against All Odds (Take A Look At Me Now);Phil Collins;['Pop', 'Rock'];206.0;0.0
1;Hello;Lionel Richie;['Pop'];247.0;0.0
2;Hold Me Now;Thompson Twins;['Pop'];286.0;0.0
3;Footloose;Kenny Loggins;['Films/Jeux vidéo', 'Musiques de films'];226.0;0.0
4;Love Somebody;Rick Springfield;['Pop'];213.0;0.0
5;To All The Girls I've Loved Before;Julio Iglesias And Willie Nelson;['Pop', 'Latino'];212.0;0.0
6;You Might Think;The Cars;['Pop'];187.0;0.0
7;They Don't Know;Tracey Ullman;['Pop'];179.0;0.0
8;Let's Hear It For The Boy;Deniece Williams;['Films/Jeux vidéo', 'Musiques de films'];260.0;0.0
9;Miss Me Blind;Culture Club;['Rock'];269.0;0.0
10;Oh, Sherrie;Steve Perry;['Rock'];229.0;0.0
11;Head Over Heels;Go-Go's;['Pop'];217.0;0.0
12;Tonight;Kool & The Gang;['Pop'];231.0;0.0
13;Time After Time;Cyndi Lauper;['Pop'];241.0;0.0
14;Don't Answer Me;The Alan Parsons Project;['Rock'];252.0;0.0
15;The Authority Song;John Cougar Mellencamp;['Alternative', 'Rock indé', 'Rock', 'Rock Indé/Pop Rock'];200.0;0.0
16;The Longest Time;Billy Joel;['Pop'];217.0;0.0
17;Breakdance;Irene Cara;['Electro', 'Techno/House', 'Dance', 'Disco'];207.0;0.0
18;Automatic;The Pointer Sisters;['Pop', 'Pop internationale', 'Rock'];288.0;0.0
19;Sister Christian;Night Ranger;['Rock'];302.0;0.0
20;Dancing In The Sheets;Shalamar;['Films/Jeux vidéo', 'Musiques de films'];245.0;0.0
21;A Fine Fine Day;Tony Carey;['Rock'];265.0;0.0
22;I'll Wait;Van Halen;['Rock', 'Hard Rock'];280.0;0.0
23;Somebody's Watching Me;Rockwell;['Disco'];296.0;0.0
24;No More Words;Berlin;['Pop', 'Rock'];230.0;0.0
25;The Reflex;Duran Duran;['Rock'];266.0;0.0
26;White Horse;Laid Back;['Pop'];237.0;0.0
27;Show Me;Pretenders;['Pop'];248.0;0.0
28;Borderline;Madonna;['Pop'];238.0;0.0
29;Adult Education;Daryl Hall John Oates;['Pop'];323.0;0.0
30;Leave It;Yes;['Rock'];253.0;0.0
31;The Heart Of Rock & Roll;Huey Lewis & The News;['Rock'];245.0;0.0
32;Self Control;Laura Branigan;['Pop', 'Rock'];246.0;0.0
33;It's My Life;Talk Talk;['Rock'];232.0;0.0
34;Rock You Like A Hurricane;Scorpions;['Rock'];255.0;0.0
35;Girls;Dwight Twilley;['Rock'];209.0;0.0
