;title;artist;genres;duration;explicit_content
0;ABC;Jackson 5;['Pop'];178.0;0.0
1;Let It Be;The Beatles;['Rock'];243.0;0.0
2;Spirit In The Sky;Norman Greenbaum;['Rock'];242.0;0.0
3;American Woman/No Sugar Tonight;The Guess Who;['Rock'];293.0;0.0
4;Instant Karma (We All Shine On);John Ono Lennon;['Rock'];200.0;0.0
5;Love Or Let Me Be Lonely;The Friends Of Distinction;['Pop'];200.0;0.0
6;Love Grows (Where My Rosemary Goes);Edison Lighthouse;['Pop'];174.0;0.0
7;Come And Get It;Badfinger;['Pop', 'Rock'];128.0;0.0
8;Vehicle;The Ides Of March;['Rock'];199.0;0.0
9;Turn Back The Hands Of Time;Tyrone Davis;['R&B', 'Soul'];173.0;0.0
10;Something's Burning;Kenny Rogers & The First Edition;['Country'];240.0;0.0
11;Up The Ladder To The Roof;The Supremes;['Pop'];193.0;0.0
12;Reflections Of My Life;The Marmalade;['Pop'];251.0;0.0
13;Bridge Over Troubled Water;Simon & Garfunkel;['Folk'];293.0;0.0
14;Woodstock;Crosby, Stills, Nash & Young;['Rock'];233.0;0.0
15;Everything Is Beautiful;Ray Stevens;['Dance', 'Pop'];209.0;0.0
16;For The Love Of Him;Bobbi Martin;['Country'];155.0;0.0
17;Easy Come, Easy Go;Bobby Sherman;['Pop'];160.0;0.0
18;Cecilia;Simon & Garfunkel;['Folk'];174.0;0.0
19;Love On A Two-Way Street;The Moments;['R&B', 'Soul'];216.0;0.0
20;The Bells;The Originals;['R&B'];175.0;0.0
21;You're The One-Part II;Little Sister;[];;
22;Tennessee Bird Walk;Jack Blanchard & Misty Morgan;['Country'];160.0;0.0
23;Get Ready;Rare Earth;['Rock'];1292.0;0.0
24;You Need Love Like I Do (Don't You);Gladys Knight And The Pips;['R&B'];215.0;0.0
25;Everybody's Out Of Town;B.J. Thomas;['Country'];168.0;0.0
26;House Of The Rising Sun;Frijid Pink;['Rock', 'Rock & Roll/Rockabilly'];284.0;0.0
27;What Is Truth;Johnny Cash;['Country'];157.0;0.0
28;Little Green Bag;George Baker Selection;['Pop'];243.0;0.0
