;title;artist;genres;duration;explicit_content
0;Lady Marmalade;Christina Aguilera, Lil' Kim, Mya & P!nk;['Pop'];264.0;0.0
1;All For You;Janet;['Pop'];330.0;0.0
2;Survivor;Destiny's Child;['Pop'];254.0;0.0
3;Hanging By A Moment;Lifehouse;['Pop'];218.0;0.0
4;Ride Wit Me;Nelly Featuring City Spud;['Pop'];254.0;1.0
5;Follow Me;Uncle Kracker;['Country', 'Pop'];218.0;1.0
6;Fiesta;R. Kelly Featuring Jay-Z;[];;
7;Thank You;Dido;['Pop'];217.0;0.0
8;Get Ur Freak On;"Missy ""Misdemeanor"" Elliott";[];;
9;What Would You Do?;City High;['R&B'];175.0;1.0
10;My Baby;Lil' Romeo;['Rap/Hip Hop'];221.0;0.0
11;I'm Like A Bird;Nelly Furtado;['Pop'];244.0;0.0
12;Peaches & Cream;Eve Featuring Gwen Stefani;[];;
13;Let Me Blow Ya Mind;Train;[];;
14;Drops Of Jupiter (Tell Me);Case;[];;
15;Missing You;Lil' Mo Featuring Fabolous;[];;
16;Superwoman Pt. II;Joe Featuring Mystikal;[];;
17;Stutter;Shaggy Featuring Rayvon;[];;
18;Angel;Jennifer Lopez;[];;
19;Play;Moby Featuring Gwen Stefani;[];;
20;South Side;S Club 7;[];;
21;Never Had A Dream Come True;Madonna;[];;
22;What It Feels Like For A Girl;Incubus;[];;
23;Drive;Faith Hill;[];;
24;There You'll Be;Brooks & Dunn;[];;
25;Ain't Nothing 'Bout You;Sunshine Anderson;[];;
26;Heard It All Before;Lenny Kravitz;[];;
27;Again;'N Sync;['Pop'];248.0;0.0
28;Pop;Lee Ann Womack;[];192.0;0.0
29;I Hope You Dance;Kenny Chesney;[];;
30;Don't Happen Twice;Tim McGraw;[];;
31;Grown Men Don't Cry;matchbox twenty;[];;
32;If You're Gone;Ja Rule Featuring Lil' Mo & Vita;[];;
33;Put It On Me;Musiq Soulchild;[];;
34;Love;OutKast;['Rap/Hip Hop'];235.0;0.0
35;So Fresh, So Clean;Crazy Town;[];;
36;Butterfly;Lonestar;['Alternative'];372.0;0.0
37;I'm Already There;Travis Tritt;[];;
38;It's A Great Day To Be Alive;Dixie Chicks;[];;
39;If I Fall You're Going Down With Me;Jessica Simpson;[];;
40;Irresistible;Aerosmith;[];;
41;Jaded;Tamia;[];;
42;Stranger In My House;Gary Allan;[];;
43;Right Where I Need To Be;Ja Rule Featuring Lil' Mo;[];;
44;I Cry;Tank;['Rock', 'Rock & Roll/Rockabilly'];204.0;0.0
45;Maybe I Deserve;QB Finest Featuring Nas & Bravehearts;[];;
46;Oochie Wally;matchbox twenty;[];;
47;Mad Season;Sara Evans;[];;
48;I Could Not Ask For More;Samantha Mumba;[];;
49;Baby, Come Over (This Is Our Night);Dream;[];;
50;This Is Me;Staind;[];;
51;It's Been Awhile;Tyrese;[];;
52;I Like Them Girls;Eden's Crush;[];;
53;Get Over Yourself;Mark McGuinn;[];;
54;Mrs. Steven Rudy;Diamond Rio;[];;
55;One More Day;George Strait;[];;
56;If You Can Do Anything Else;Trick Daddy Featuring The SNS Express;[];;
57;Take It To Da House;Montgomery Gentry;[];;
58;She Couldn't Change Me;Erick Sermon Featuring Marvin Gaye;[];;
59;Music;Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz;[];;
60;Lay Low;Olivia;[];;
61;Bizounce;Ray J Featuring Lil' Kim;[];;
62;Wait A Minute;Jagged Edge With Nelly;[];;
63;Where The Party At;India.Arie;[];;
64;Video;Backstreet Boys;[];;
65;More Than That;Alan Jackson;[];;
66;When Somebody Loves You;2Pac;[];;
67;Until The End Of Time;Blu Cantrell;[];;
68;Hit 'Em Up Style (Oops!);Jessica Andrews;[];;
69;Who I Am;Sarina Paris;[];;
70;Look At Us;Coldplay;[];;
71;Yellow;Brad Paisley;[];;
72;Two People Fell In Love;The Corrs;[];;
73;Breathless;Limp Bizkit;[];;
74;My Way;Sugar Ray;['Rock', 'Blues'];181.0;0.0
75;When It's Over;Faith Evans Featuring Carl Thomas;[];;
76;Can't Believe;Aaliyah Featuring Timbaland;[];;
77;We Need A Resolution;Dave Matthews Band;[];;
78;The Space Between;Three The... G. Dep, P. Diddy & Black Rob;[];;
79;Let's Get It;Ludacris;[];;
80;Southern Hospitality;Toya;[];;
81;I Do!!;Ricky Martin Duet With Christina Aguilera;[];;
82;Nobody Wants To Be Lonely;Ginuwine;[];;
83;There It Is;Lionel Richie;[];;
84;Angel;Jill Scott;['Jazz'];1401.0;0.0
85;A Long Walk;Amanda;[];;
86;Everybody Doesn't;Azul Azul;[];;
87;La Bomba;Babyface;[];;
88;There She Goes;Depeche Mode;[];;
89;Dream On;3LW;[];;
90;Playas Gon' Play;R.E.M.;[];;
91;Imitation Of Life;Vertical Horizon;[];;
92;Best I Ever Had (Grey Sky Morning);Eve;[];;
93;Who's That Girl?;ATC;[];;
94;Around The World (La La La La La);Blake Shelton;[];;
95;Austin;Linkin Park;[];;
96;One Step Closer;Cyndi Thomson;[];;
97;What I Really Meant To Say;Faith Hill;[];;
98;If My Heart Had Wings;Aaron Lewis Of Staind With Fred Durst;[];;
99;Outside;;['Musique africaine', 'Rap/Hip Hop'];283.0;0.0
