;year;duration;Pop internationale;Pop internationale_prop;Dancefloor;Dancefloor_prop;Alternative;Alternative_prop;Singer & Songwriter;Singer & Songwriter_prop;Jazz;Jazz_prop;Comédie;Comédie_prop;Jazz instrumental;Jazz instrumental_prop;Films/Jeux vidéo;Films/Jeux vidéo_prop;Dub;Dub_prop;Chill Out/Trip-Hop/Lounge;Chill Out/Trip-Hop/Lounge_prop;R&B;R&B_prop;Pop indé/Folk;Pop indé/Folk_prop;Bandes originales;Bandes originales_prop;Comédies musicales;Comédies musicales_prop;Techno/House;Techno/House_prop;Electro Pop/Electro Rock;Electro Pop/Electro Rock_prop;Reggae;Reggae_prop;Jazz vocal;Jazz vocal_prop;Pop Indé;Pop Indé_prop;Soul & Funk;Soul & Funk_prop;Folk;Folk_prop;Musique brésilienne;Musique brésilienne_prop;Rap/Hip Hop;Rap/Hip Hop_prop;East Coast;East Coast_prop;Rock & Roll/Rockabilly;Rock & Roll/Rockabilly_prop;Rock indé;Rock indé_prop;Pop;Pop_prop;Blues;Blues_prop;Musique africaine;Musique africaine_prop;Rock;Rock_prop;Rock français;Rock français_prop;Disco;Disco_prop;Rock Indé/Pop Rock;Rock Indé/Pop Rock_prop;Variété Internationale;Variété Internationale_prop;Classique;Classique_prop;Soul;Soul_prop;Country;Country_prop;Jeunesse;Jeunesse_prop;Bolero;Bolero_prop;Electro;Electro_prop;Hard Rock;Hard Rock_prop;Latino;Latino_prop;Musiques de films;Musiques de films_prop;R&B contemporain;R&B contemporain_prop;Trance;Trance_prop;Metal;Metal_prop;Chanson française;Chanson française_prop;Dance;Dance_prop
10;1971;210;2;3.8;0;0.0;0;0.0;1;1.9;1;1.9;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;30;56.6;0;0.0;0;0.0;8;15.1;0;0.0;0;0.0;0;0.0;2;3.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;5;9.4;1;1.9
11;1972;211;4;6.6;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;36;59.0;0;0.0;0;0.0;6;9.8;0;0.0;0;0.0;0;0.0;3;4.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;9;14.8;0;0.0
12;1973;212;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;2.0;0;0.0;1;2.0;0;0.0;0;0.0;1;2.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;33;64.7;0;0.0;0;0.0;6;11.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;9;17.6;0;0.0
13;1974;220;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;5.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;32;60.4;0;0.0;0;0.0;4;7.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;11;20.8;0;0.0
14;1975;223;2;3.5;0;0.0;0;0.0;0;0.0;2;3.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;3.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.8;0;0.0;1;1.8;0;0.0;0;0.0;0;0.0;0;0.0;32;56.1;0;0.0;2;3.5;1;1.8;0;0.0;3;5.3;0;0.0;1;1.8;1;1.8;1;1.8;1;1.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;7;12.3;0;0.0
15;1976;240;0;0.0;0;0.0;1;1.8;0;0.0;1;1.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.8;33;58.9;0;0.0;0;0.0;3;5.4;0;0.0;3;5.4;0;0.0;0;0.0;0;0.0;1;1.8;0;0.0;0;0.0;0;0.0;1;1.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;9;16.1;1;1.8
16;1977;245;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;31;58.5;0;0.0;0;0.0;4;7.5;0;0.0;2;3.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;2;3.8;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;8;15.1;2;3.8
17;1978;241;1;1.4;0;0.0;1;1.4;0;0.0;0;0.0;0;0.0;0;0.0;2;2.9;0;0.0;0;0.0;1;1.4;0;0.0;0;0.0;1;1.4;1;1.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.4;34;48.6;0;0.0;0;0.0;8;11.4;1;1.4;4;5.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;2.9;0;0.0;0;0.0;1;1.4;0;0.0;0;0.0;0;0.0;6;8.6;6;8.6
18;1979;276;1;1.5;0;0.0;2;3.0;0;0.0;1;1.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;5;7.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.5;31;46.3;0;0.0;0;0.0;11;16.4;1;1.5;3;4.5;0;0.0;0;0.0;0;0.0;2;3.0;0;0.0;1;1.5;0;0.0;1;1.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;6.0;3;4.5
19;1980;259;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;5;9.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;33;63.5;0;0.0;0;0.0;6;11.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;3;5.8;1;1.9
