;title;artist;genres;duration;explicit_content
0;You're So Vain;Carly Simon;['Pop'];258.0;0.0
1;Tie A Yellow Ribbon Round The Ole Oak Tree;Dawn Featuring Tony Orlando;['Pop'];206.0;0.0
2;My Love;Paul McCartney And Wings;['Rock'];250.0;0.0
3;Killing Me Softly With His Song;Roberta Flack;['Pop'];286.0;0.0
4;Half-Breed;Cher;['Pop'];163.0;0.0
5;Crocodile Rock;Elton John;['Pop'];236.0;0.0
6;The Night The Lights Went Out In Georgia;Vicki Lawrence;['Pop'];220.0;0.0
7;Brother Louie;Stories;['Pop', 'Rock'];235.0;0.0
8;Will It Go Round In Circles;Billy Preston;['R&B'];268.0;0.0
9;The Morning After;Maureen McGovern;['Pop'];141.0;0.0
10;Midnight Train To Georgia;Gladys Knight And The Pips;['R&B'];198.0;0.0
11;Let's Get It On;Marvin Gaye;['Pop'];291.0;0.0
12;Bad, Bad Leroy Brown;Jim Croce;['Rock'];182.0;0.0
13;Loves Me Like A Rock;Paul Simon (with The Dixie Hummingbirds);[];;
14;The Cisco Kid;War;['R&B'];267.0;0.0
15;Angie;The Rolling Stones;['Rock'];271.0;0.0
16;Daniel;Elton John;['Pop'];235.0;0.0
17;Superstition;Stevie Wonder;['R&B'];266.0;0.0
18;Neither One Of Us (Wants To Be The First To Say Goodbye);Gladys Knight And The Pips;['R&B'];261.0;0.0
19;Dueling Banjos;Deliverance/Eric Weissberg & Steve Mandell;['Pop', 'Films/Jeux vidéo', 'Musiques de films'];196.0;0.0
20;Kodachrome;Paul Simon;['Pop'];213.0;0.0
21;Live And Let Die;Wings;['Rock'];194.0;0.0
22;Clair;Gilbert O'Sullivan;['Pop', 'Rock'];179.0;0.0
23;Little Willy;The Sweet;['Pop', 'Rock'];192.0;0.0
24;Delta Dawn;Helen Reddy;['Pop', 'Rock'];181.0;0.0
25;Frankenstein;Edgar Winter Group;['Rock'];285.0;0.0
26;Touch Me In The Morning;Diana Ross;['R&B'];204.0;0.0
27;You Are The Sunshine Of My Life;Stevie Wonder;['Pop'];177.0;0.0
28;Last Song;Edward Bear;['Pop'];195.0;0.0
29;Keep On Truckin' (Part 1);Eddie Kendricks;[];;
30;Me And Mrs. Jones;Billy Paul;['R&B'];284.0;0.0
31;We're An American Band;Grand Funk;['Rock'];206.0;0.0
32;Pillow Talk;Sylvia (r&b);[];;
33;Smoke On The Water;Deep Purple;['Metal'];340.0;0.0
34;Could It Be I'm Falling In Love;The Spinners;['R&B'];249.0;0.0
35;Yesterday Once More;Carpenters;['Pop'];239.0;0.0
36;Give Me Love - (Give Me Peace On Earth);George Harrison;['Rock'];215.0;0.0
37;Ain't No Woman (Like The One I've Got);Four Tops;['R&B'];189.0;0.0
38;Why Can't We Live Together;Timmy Thomas;['Pop'];277.0;0.0
39;Playground In My Mind;Clint Holmes;['Rock'];178.0;0.0
40;Drift Away;Dobie Gray;['Pop'];237.0;0.0
41;Your Mama Don't Dance;Kenny Loggins & Jim Messina;['Pop'];168.0;0.0
42;That Lady (Part 1);The Isley Brothers;['Pop', 'Rock'];238.0;0.0
43;Ramblin Man;The Allman Brothers Band;['Rock'];288.0;0.0
44;Higher Ground;Stevie Wonder;['Pop'];222.0;0.0
45;Shambala;Three Dog Night;['Pop'];207.0;0.0
46;I'm Gonna Love You Just A Little More Baby;Barry White;['R&B'];238.0;0.0
47;Say, Has Anybody Seen My Sweet Gypsy Rose;Dawn Featuring Tony Orlando;['Pop'];175.0;0.0
48;Diamond Girl;Seals & Crofts;['Pop', 'Rock'];253.0;0.0
49;Sing;Carpenters;['Pop'];199.0;0.0
50;Oh, Babe, What Would You Say?;Hurricane Smith;['Rock'];209.0;0.0
51;Break Up To Make Up;The Stylistics;['R&B', 'Soul'];245.0;0.0
52;Stuck In The Middle With You;Stealers Wheel;['Pop', 'Rock'];208.0;0.0
53;Love Train;The O'Jays;['Pop', 'R&B'];178.0;0.0
54;Also Sprach Zarathustra (2001);Deodato;['Dance'];543.0;0.0
55;Paper Roses;Marie Osmond;['Pop'];159.0;0.0
56;Feelin' Stronger Every Day;Chicago;['Pop', 'Rock'];254.0;0.0
57;Danny's Song;Anne Murray;['Pop'];187.0;0.0
58;Funny Face;Donna Fargo;['Country'];158.0;0.0
59;Why Me;Kris Kristofferson;['Country'];281.0;0.0
60;Right Place Wrong Time;Dr. John;['Pop', 'Rock'];175.0;0.0
61;Get Down;Gilbert O'Sullivan;['Pop', 'Rock'];159.0;0.0
62;Do It Again;Steely Dan;['Rock'];357.0;0.0
63;Wildflower;Skylark;['Rock'];250.0;0.0
64;Rocky Mountain High;John Denver;['Country'];281.0;0.0
65;Heartbeat - It's A Lovebeat;The DeFranco Family featuring Tony DeFranco;[];;
66;Don't Expect Me To Be Your Friend;Lobo;['Rock'];217.0;0.0
67;Trouble Man;Marvin Gaye;['R&B'];228.0;0.0
68;Rockin' Pneumonia - Boogie Woogie Flu;Johnny Rivers;['Pop'];209.0;0.0
69;Hocus Pocus;Focus;['Pop'];402.0;0.0
70;Monster Mash;"Bobby ""Boris"" Pickett And The Crypt-Kickers";['Pop'];192.0;0.0
71;The Twelfth Of Never;Donny Osmond;['Pop'];161.0;0.0
72;If You Want Me To Stay;Sly & The Family Stone;['Soul & Funk'];180.0;0.0
73;Daddy's Home;Jermaine Jackson;['Pop'];183.0;0.0
74;Masterpiece;The Temptations;['R&B'];830.0;0.0
75;"The Cover Of ""Rolling Stone""";Dr. Hook And The Medicine Show;['Jeunesse'];173.0;0.0
76;The World Is A Ghetto;War;['R&B'];617.0;0.0
77;It Never Rains In Southern California;Albert Hammond;['Rock'];233.0;0.0
78;Reeling In The Years;Steely Dan;['Pop'];278.0;0.0
79;My Maria;B.W. Stevenson;['Rock'];152.0;0.0
80;I Believe In You (You Believe In Me);Johnnie Taylor;['Pop'];306.0;0.0
81;Dancing In The Moonlight;King Harvest;['Pop'];178.0;0.0
