;title;artist;genres;duration;explicit_content
0;Flashdance...What A Feeling;Irene Cara;['Electro', 'Techno/House', 'Dance', 'Disco'];237.0;0.0
1;Billie Jean;Michael Jackson;['Pop', 'Pop internationale', 'Rock'];294.0;0.0
2;Every Breath You Take;The Police;['Pop'];251.0;0.0
3;Sweet Dreams (Are Made Of This);Eurythmics;['Pop'];182.0;0.0
4;Total Eclipse Of The Heart;Bonnie Tyler;['Pop'];270.0;0.0
5;Beat It;Michael Jackson;['Pop', 'Pop internationale', 'Rock'];257.0;0.0
6;Maneater;Daryl Hall John Oates;['Pop'];272.0;0.0
7;Islands In The Stream;Kenny Rogers Duet With Dolly Parton;[];;
8;Africa;Toto;['Pop'];295.0;0.0
9;Let's Dance;David Bowie;['Rock'];247.0;0.0
10;Do You Really Want To Hurt Me;Culture Club;['Pop'];263.0;0.0
11;Shame On The Moon;Bob Seger & The Silver Bullet Band;['Rock'];294.0;0.0
12;Maniac;Michael Sembello;['Films/Jeux vidéo', 'Musiques de films'];244.0;0.0
13;Electric Avenue;Eddy Grant;['Electro'];198.0;0.0
14;Down Under;Men At Work;['Rock'];220.0;0.0
15;Tell Her About It;Billy Joel;['Rock'];229.0;0.0
16;Jeopardy;Greg Kihn Band;['Rock'];229.0;0.0
17;She Works Hard For The Money;Donna Summer;['R&B'];320.0;0.0
18;Hungry Like The Wolf;Duran Duran;['Rock'];209.0;0.0
19;The Safety Dance;Men Without Hats;['Pop'];164.0;0.0
20;Time (Clock Of The Heart);Culture Club;['Rock'];223.0;0.0
21;Mickey;Toni Basil;['Pop'];252.0;0.0
22;All Night Long (All Night);Lionel Richie;['R&B'];385.0;0.0
23;Overkill;Men At Work;['Pop'];229.0;0.0
24;Baby, Come To Me;Patti Austin A Duet With James Ingram;[];;
25;Sexual Healing;Marvin Gaye;['Pop'];239.0;0.0
26;Stray Cat Strut;Stray Cats;['Pop', 'Pop internationale', 'Rock'];194.0;0.0
27;Making Love Out Of Nothing At All;Air Supply;['Pop'];340.0;0.0
28;Never Gonna Let You Go;Sergio Mendes;['Jazz'];255.0;0.0
29;She Blinded Me With Science;Thomas Dolby;['Rock'];221.0;0.0
30;Come On Eileen;Dexys Midnight Runners;['Pop'];273.0;0.0
31;You Are;Lionel Richie;['Pop'];246.0;0.0
32;The Girl Is Mine;Michael Jackson And Paul McCartney;['Pop'];221.0;0.0
33;Dirty Laundry;Don Henley;['Rock'];336.0;0.0
34;Puttin' On The Ritz;Taco;['Pop'];281.0;0.0
35;Back On The Chain Gang;Pretenders;['Pop'];231.0;0.0
36;Is There Something I Should Know;Duran Duran;['Rock'];249.0;0.0
37;We've Got Tonight;Kenny Rogers And Sheena Easton;['Country'];229.0;0.0
38;Der Kommissar;After The Fire;['Pop'];248.0;0.0
39;You And I;Eddie Rabbitt With Crystal Gayle;['Country'];236.0;0.0
40;Mr. Roboto;Styx;['Rock'];328.0;0.0
41;One Thing Leads To Another;The Fixx;['Rock'];199.0;0.0
42;Little Red Corvette;Prince;['Pop'];303.0;1.0
43;(she's) Sexy + 17;Stray Cats;['Pop'];210.0;0.0
44;True;Spandau Ballet;['Rock'];329.0;0.0
45;Don't Let It End;Styx;['Rock'];294.0;0.0
46;King Of Pain;The Police;['Pop'];297.0;0.0
47;Wanna Be Startin' Somethin';Michael Jackson;['Pop', 'Pop internationale', 'Rock'];362.0;0.0
48;Separate Ways (Worlds Apart);Journey;['Pop'];325.0;0.0
49;Stand Back;Stevie Nicks;['Pop'];288.0;0.0
50;It's A Mistake;Men At Work;['Rock'];271.0;0.0
51;Solitaire;Laura Branigan;['Pop'];245.0;0.0
52;Too Shy;Kajagoogoo;['Rock'];221.0;0.0
53;Family Man;Daryl Hall John Oates;['Pop'];205.0;0.0
54;Twilight Zone;Golden Earring;['Pop'];478.0;0.0
55;Affair Of The Heart;Rick Springfield;['Pop'];226.0;0.0
56;(Keep Feeling) Fascination;The Human League;['Rock'];225.0;0.0
