;title;artist;genres;duration;explicit_content
0;Take A Bow;Madonna;['Pop'];321.0;0.0
1;Take A Bow;Madonna;[];;
2;Creep;TLC;['R&B'];268.0;0.0
3;Have You Ever Really Loved A Woman?;Bryan Adams;['Rock'];293.0;0.0
4;Fantasy;Mariah Carey;['Pop'];243.0;0.0
5;On Bended Knee;Boyz II Men;['Pop'];329.0;0.0
6;This Is How We Do It;Montell Jordan;[];;
7;This Is How We Do It;Montell Jordan;['Rap/Hip Hop'];277.0;1.0
8;Waterfalls;TLC;['R&B'];279.0;0.0
9;"Gangsta's Paradise (From ""Dangerous Minds"")";Coolio Featuring L.V.;[];;
10;You Are Not Alone;Michael Jackson;['Pop'];345.0;0.0
11;Don't Take It Personal (Just One Of Dem Days);Monica;['R&B', 'Soul'];258.0;0.0
12;Kiss From A Rose;Seal;['Pop'];288.0;0.0
13;Candy Rain;Soul For Real;['R&B'];276.0;0.0
14;Freak Like Me;Adina Howard;['Rap/Hip Hop', 'R&B'];253.0;0.0
15;Another Night;Real McCoy;['Pop'];236.0;0.0
16;One More Chance/Stay With Me;The Notorious B.I.G.;['Rap/Hip Hop'];277.0;0.0
17;Red Light Special;TLC;['R&B'];303.0;0.0
18;Water Runs Dry;Boyz II Men;['Pop'];200.0;0.0
19;I Know;Dionne Farris;['Pop'];227.0;0.0
20;Total Eclipse Of The Heart;Nicki French;['Pop'];229.0;0.0
21;I Can Love You Like That;All-4-One;['Pop'];257.0;0.0
22;Boombastic/In The Summertime;Shaggy;[];;
23;Boombastic/In The Summertime;Shaggy;['Reggae'];238.0;0.0
24;You Gotta Be;Des'ree;['Pop'];240.0;0.0
25;Always;Bon Jovi;['Pop'];353.0;0.0
26;Strong Enough;Sheryl Crow;['Pop'];189.0;0.0
27;Runaway;Janet Jackson;['Pop'];214.0;0.0
28;Run-Around;Blues Traveler;['Rock'];280.0;0.0
29;I'll Be There For You/You're All I Need To Get By;Method Man Featuring Mary J. Blige;['R&B'];242.0;0.0
30;"Here Comes The Hotstepper (From ""Ready To Wear"")";Ini Kamoze;[];;
31;Run Away;Real McCoy;['Pop'];243.0;0.0
32;Hold My Hand;Hootie & The Blowfish;['Pop'];258.0;0.0
33;Baby;Brandy;['Rock'];313.0;0.0
34;I Believe;Blessid Union Of Souls;['Pop'];267.0;0.0
35;Only Wanna Be With You;Hootie & The Blowfish;['Pop'];229.0;0.0
36;Let Her Cry;Hootie & The Blowfish;['Pop'];318.0;0.0
37;Before I Let You Go;BLACKstreet;['R&B'];301.0;0.0
38;As I Lay Me Down;Sophie B. Hawkins;[];;
39;As I Lay Me Down;Sophie B. Hawkins;['Pop'];248.0;0.0
40;If You Love Me;Brownstone;['R&B'];304.0;0.0
41;"Colors Of The Wind (From ""Pocahontas"")";Vanessa Williams;['Jeunesse'];257.0;0.0
42;Big Poppa/Warning;The Notorious B.I.G.;[];;
43;Someone To Love;Jon B. Featuring Babyface;[];;
44;Someone To Love;Jon B. Featuring Babyface;['Films/Jeux vidéo', 'Musiques de films'];273.0;0.0
45;Sukiyaki;4PM;[];;
46;In The House Of Stone And Light;Martin Page;['Pop'];300.0;0.0
47;He's Mine;MoKenStef;['Rap/Hip Hop'];250.0;0.0
48;I Got 5 On It;Luniz;['Rap/Hip Hop'];253.0;0.0
49;I'm The Only One;Melissa Etheridge;['Singer & Songwriter'];324.0;0.0
50;I Wanna Be Down;Brandy;[];;
51;I Wanna Be Down;Brandy;['Rock'];291.0;0.0
52;Scream/Childhood;Michael Jackson & Janet Jackson;[];;
53;Tell Me;Groove Theory;['R&B'];236.0;0.0
54;"Shy Guy (From ""Bad Boys"")";Diana King;[];;
55;Dear Mama/Old School;2Pac;[];;
56;Every Little Thing I Do;Soul For Real;['R&B'];260.0;0.0
57;The Rhythm Of The Night;Corona;['Electro', 'Dance', 'Disco'];264.0;0.0
58;"Keep Their Heads Ringin' (From ""Friday"")";Dr. Dre;[];;
59;December;Collective Soul;['Rock'];285.0;0.0
60;Hold On;Jamie Walters;['Pop'];264.0;0.0
61;Roll To Me;Del Amitri;['Rock'];132.0;0.0
